rank,concept_id,label_ko,matched_term,grade,domain,unit,concept_type,confidence,recommended_action,page_number,match_count_on_page,context_signal,context_excerpt,review_status,source_candidate_id,source_locator_candidate,source_ref_upgrade_allowed,notes
1,m1_num_ratio,비,비율,중1(교육과정 학년군: 중1-3),수와 연산,공통 선수개념,term,low,inspect_research_report_context_before_confidence_change,61,4,achievement_level_context; example_assessment_tool_context; assessment_context; teaching_learning_context; curriculum_context,"...기 을 할 수 있다. ∙ 범교과 학습 주제 연계 예시 [6수02-03] 비율을 이해하 ∙ 동일한 비율을 분수, 소수, 백분율로 평가 지필평가 변화와 고...",pending_context_review,achievement_research_report_2022,연구보고서 p. 61,no,Short page context for manual review only; do not change source_refs or confidence without source review.
2,m1_num_ratio,비,비율,중1(교육과정 학년군: 중1-3),수와 연산,공통 선수개념,term,low,inspect_research_report_context_before_confidence_change,91,2,achievement_level_context; example_assessment_tool_context; assessment_context; teaching_learning_context; curriculum_context,"...보를 제공할 수 있다. 지필평가의 경우 평균, 표준편차, 성취수준별 학생 비율 분포, 문항 정답률, 문항 변별 도 등에 대한 정보를 분석하여 다음과 같...",pending_context_review,achievement_research_report_2022,연구보고서 p. 91,no,Short page context for manual review only; do not change source_refs or confidence without source review.
3,m1_num_ratio,비,비율,중1(교육과정 학년군: 중1-3),수와 연산,공통 선수개념,term,low,inspect_research_report_context_before_confidence_change,172,7,achievement_level_context; curriculum_context,2022 개정 교육과정에 따른 초·중학교 수학과 성취수준 개발 연구 비와 비율 성취기준 성취기준별 성취수준 [6수02-02] 두 양의 크 비가 적용되는 간단...,pending_context_review,achievement_research_report_2022,연구보고서 p. 172,no,Short page context for manual review only; do not change source_refs or confidence without source review.
4,m1_num_ratio,비,비율,중1(교육과정 학년군: 중1-3),수와 연산,공통 선수개념,term,low,inspect_research_report_context_before_confidence_change,177,1,achievement_level_context; curriculum_context,"...고, 그래프를 해석하며, 그 과정 A [6수04-02] 자료를 수 에서 비율그래프의 필요성을 안다. 집하여 띠그래프나 B 주어진 자료를 띠그래프나 원그...",pending_context_review,achievement_research_report_2022,연구보고서 p. 177,no,Short page context for manual review only; do not change source_refs or confidence without source review.
5,m1_num_ratio,비,비율,중1(교육과정 학년군: 중1-3),수와 연산,공통 선수개념,term,low,inspect_research_report_context_before_confidence_change,180,8,achievement_level_context; curriculum_context,"...는 ･ 방법을 종합적으로 이해한다. 비가 적용되는 간단한 상황에서 비와 비율의 의미 지식 이해 와 표현 방법, 비례식과 비례배분의 의미를 종합적으로 이...",pending_context_review,achievement_research_report_2022,연구보고서 p. 180,no,Short page context for manual review only; do not change source_refs or confidence without source review.
6,m1_num_ratio,비,비율,중1(교육과정 학년군: 중1-3),수와 연산,공통 선수개념,term,low,inspect_research_report_context_before_confidence_change,181,2,achievement_level_context; teaching_learning_context,"...△ 등을 사용하여 말할 수 있다. ･ 과정 기능 안내된 절차에 따라 비와 비율, 비례식, 비례배분에 대한 간단한 문제를 해결할 수 있다. ･ 실생활에서...",pending_context_review,achievement_research_report_2022,연구보고서 p. 181,no,Short page context for manual review only; do not change source_refs or confidence without source review.
7,m1_num_ratio,비,비율,중1(교육과정 학년군: 중1-3),수와 연산,공통 선수개념,term,low,inspect_research_report_context_before_confidence_change,183,3,achievement_level_context,"...능성을 예상하고 비교하여 적절한 판단을 내릴 수 있다. 실생활에서 평균과 비율그래프의 유용성과 편리함을 인식한다. 통계적 문제해 결의 가치를 알고, 실...",pending_context_review,achievement_research_report_2022,연구보고서 p. 183,no,Short page context for manual review only; do not change source_refs or confidence without source review.
8,m1_num_ratio,비,비율,중1(교육과정 학년군: 중1-3),수와 연산,공통 선수개념,term,low,inspect_research_report_context_before_confidence_change,184,3,achievement_level_context; example_assessment_tool_context; assessment_context; curriculum_context,"...분 문항 유형 학년군 영역 성취기준 평가 과제명 및 평가 요소  동일한 비율을 분수, 소수, 예시 [6수02-03] 비율을 이해하고, 비 백분율로 다...",pending_context_review,achievement_research_report_2022,연구보고서 p. 184,no,Short page context for manual review only; do not change source_refs or confidence without source review.
9,m1_geo_line_segment,선분,선분,중1(교육과정 학년군: 중1-3),도형과 측정,기본 도형,term,low,inspect_research_report_context_before_confidence_change,62,1,achievement_level_context; example_assessment_tool_context; assessment_context; curriculum_context,...[9수03-14] 평행선 사이의 영역 융합 세트 ⑤ ･ 도형과 ∙ (서 선분의 길이의 비를 구 삼각형의 무게중심의 성질을 이해하고 측정 논술형) 할 수...,pending_context_review,achievement_research_report_2022,연구보고서 p. 62,no,Short page context for manual review only; do not change source_refs or confidence without source review.
10,m1_geo_line_segment,선분,선분,중1(교육과정 학년군: 중1-3),도형과 측정,기본 도형,term,low,inspect_research_report_context_before_confidence_change,78,1,achievement_level_context; curriculum_context,...두 삼각형이 닮 음인지 판별할 수 있다. [9수03-14] 평행선 사이의 선분의 길이의 비를 구할 수 있다. 피타고라스 [9수03-15] 피타고라스 정...,pending_context_review,achievement_research_report_2022,연구보고서 p. 78,no,Short page context for manual review only; do not change source_refs or confidence without source review.
11,m1_geo_line_segment,선분,선분,중1(교육과정 학년군: 중1-3),도형과 측정,기본 도형,term,low,inspect_research_report_context_before_confidence_change,79,1,achievement_level_context,...있다. 두 삼각형의 닮음을 닮음 조건을 이용하여 판별하고 평행선 사이의 선분의 길이의 비를 구하는 과정을 설명 할 수 있다. ∙ 예각에 대한 삼각비의...,pending_context_review,achievement_research_report_2022,연구보고서 p. 79,no,Short page context for manual review only; do not change source_refs or confidence without source review.
12,m1_geo_line_segment,선분,선분,중1(교육과정 학년군: 중1-3),도형과 측정,기본 도형,term,low,inspect_research_report_context_before_confidence_change,80,1,achievement_level_context; curriculum_context,...있다. 두 삼각형의 닮음을 닮음 조건을 이용하여 판별하고 평행선 사이의 선분의 길이의 비를 구하는 과정을 설명할 수 있다. 다양한 상황에서 일어날 수...,pending_context_review,achievement_research_report_2022,연구보고서 p. 80,no,Short page context for manual review only; do not change source_refs or confidence without source review.
13,m1_geo_line_segment,선분,선분,중1(교육과정 학년군: 중1-3),도형과 측정,기본 도형,term,low,inspect_research_report_context_before_confidence_change,114,1,achievement_level_context; example_assessment_tool_context; assessment_context; curriculum_context,"...각형을 그릴 때 점이 약간 벗어나게 그린 경우, 자를 사용하지 않고 곧은 선을 그린 경우, 선분끼리 살짝 겹치거나 떨어진 경우에도 정답으로 인정한다. 114",pending_context_review,achievement_research_report_2022,연구보고서 p. 114,no,Short page context for manual review only; do not change source_refs or confidence without source review.
14,m1_geo_line_segment,선분,선분,중1(교육과정 학년군: 중1-3),도형과 측정,기본 도형,term,low,inspect_research_report_context_before_confidence_change,117,1,example_assessment_tool_context; assessment_context,"...고려하여 사각형을 그릴 때 점에서 약간 벗어나게 그린 경우, 곧은 선에 가깝게 그린 경우, 선분끼리 살짝 겹치거나 떨어진 경우도 정답으로 인정한다. 117",pending_context_review,achievement_research_report_2022,연구보고서 p. 117,no,Short page context for manual review only; do not change source_refs or confidence without source review.
15,m1_geo_line_segment,선분,선분,중1(교육과정 학년군: 중1-3),도형과 측정,기본 도형,term,low,inspect_research_report_context_before_confidence_change,130,4,achievement_level_context; curriculum_context,"...구 3) 도형과 측정 도형의 기초 성취기준 성취기준별 성취수준 A 직선, 선분, 반직선의 예를 제시하고, 그 차이를 설명할 수 있다. [4수03-01]...",pending_context_review,achievement_research_report_2022,연구보고서 p. 130,no,Short page context for manual review only; do not change source_refs or confidence without source review.
16,m1_geo_line_segment,선분,선분,중1(교육과정 학년군: 중1-3),도형과 측정,기본 도형,term,low,inspect_research_report_context_before_confidence_change,138,2,achievement_level_context; curriculum_context,"...경청하려는 태도를 갖는다. 3) 도형과 측정 영역 영역별 성취수준 직선, 선분, 반직선, 각, 직각, 예각, 둔각, 직선의 수직 관계와 평행 관계 등의...",pending_context_review,achievement_research_report_2022,연구보고서 p. 138,no,Short page context for manual review only; do not change source_refs or confidence without source review.
17,m1_func_input_value,입력값,입력,중1(교육과정 학년군: 중1-3),변화와 관계,일차함수와 그 그래프,term,low,inspect_research_report_context_before_confidence_change,193,3,general_report_context,"...ex.html?v=20230907 (1) 다음 단계에 따라 수집한 자료를 입력하여 표를 완성하고, 그래프로 나타내세요. < 단계 > [1단계] 자료입력...",pending_context_review,achievement_research_report_2022,연구보고서 p. 193,no,Short page context for manual review only; do not change source_refs or confidence without source review.
18,m1_func_input_value,입력값,입력,중1(교육과정 학년군: 중1-3),변화와 관계,일차함수와 그 그래프,term,low,inspect_research_report_context_before_confidence_change,196,2,achievement_level_context; example_assessment_tool_context; assessment_context; curriculum_context,"...~2가지를 바르게 쓴 경우 정하기 0점 무응답, 그 외의 오답 2점 표 입력, 합계와 백분율, 그래프 모두 옳게 작성한 경우 툴을 이용하여 2_(1)...",pending_context_review,achievement_research_report_2022,연구보고서 p. 196,no,Short page context for manual review only; do not change source_refs or confidence without source review.
19,m1_func_input_value,입력값,입력,중1(교육과정 학년군: 중1-3),변화와 관계,일차함수와 그 그래프,term,low,inspect_research_report_context_before_confidence_change,253,2,example_assessment_tool_context,...왼쪽의 을 선택하고 (+)모양 옆 을 클릭한 후 그리고 싶은 점의 좌표를 입력하고 엔터 를 누른다. [2단계] 일차함수의 그래프 그리기 <방법 1> 화...,pending_context_review,achievement_research_report_2022,연구보고서 p. 253,no,Short page context for manual review only; do not change source_refs or confidence without source review.
20,m1_func_input_value,입력값,입력,중1(교육과정 학년군: 중1-3),변화와 관계,일차함수와 그 그래프,term,low,inspect_research_report_context_before_confidence_change,254,3,achievement_level_context; curriculum_context,...모양 옆 을 클릭한 후 그리고자 하는 일차함수가 지나는 점을 좌표 형태로 입력하고 엔터를 누른다. (+)모양 옆 을 클릭한 후 일차 함수의 그래프 위의...,pending_context_review,achievement_research_report_2022,연구보고서 p. 254,no,Short page context for manual review only; do not change source_refs or confidence without source review.
