edge_id,source_id,source_label,source_dataset,source_grade,target_id,target_label,target_dataset,target_grade,relationship_type,confidence,source_locator,summary,notes
cross_edge_001,e56_num_common_divisor,공약수와 최대공약수,elementary,초5-6,m1_num_find_gcd_lcm_prime_factorization,소인수분해로 최대공약수와 최소공배수 구하기,middle,중1(교육과정 학년군: 중1-3),prerequisite_for,high,printed p. 33; [9수01-02] 성취기준 해설,초등학교에서 학습한 최대공약수의 개념을 바탕으로 소인수분해를 이용해 최대공약수를 구하게 한다,[9수01-02] 해설이 초등 최대공약수·최소공배수를 명시적으로 선수로 지목한다.
cross_edge_002,e56_num_common_multiple,공배수와 최소공배수,elementary,초5-6,m1_num_find_gcd_lcm_prime_factorization,소인수분해로 최대공약수와 최소공배수 구하기,middle,중1(교육과정 학년군: 중1-3),prerequisite_for,high,printed p. 33; [9수01-02] 성취기준 해설,초등학교에서 학습한 최소공배수의 개념을 바탕으로 소인수분해를 이용해 최소공배수를 구하게 한다,[9수01-02] 해설이 초등 최대공약수·최소공배수를 명시적으로 선수로 지목한다.
cross_edge_003,m1_num_real_number,실수,middle,중3(교육과정 학년군: 중1-3),hs1_complex,복소수,hs_common,고1,prerequisite_for,high,printed p. 61; [10공수1-02-01] 적용 시 고려 사항,복소수의 성질과 사칙연산은 중학교에서 학습한 실수의 성질과 사칙연산과 연계하여 이해하게 한다,고려 사항이 중학교 실수를 복소수의 연계 대상으로 직접 지목한다.
cross_edge_004,m1_num_radical_operations,근호를 포함한 식의 사칙계산,middle,중3(교육과정 학년군: 중1-3),hs1_complex_ops,복소수의 사칙연산,hs_common,고1,prerequisite_for,high,printed p. 61; [10공수1-02-01] 적용 시 고려 사항,복소수의 사칙연산은 중학교에서 학습한 실수의 사칙연산과 연계하여 이해하게 한다,실수 범위 근호 사칙계산을 복소수 사칙연산의 선수로 연결한다.
cross_edge_005,m1_factor_polynomial_multiplication,다항식의 곱셈,middle,중3(교육과정 학년군: 중1-3),hs1_poly_ops,다항식의 사칙연산,hs_common,고1,prerequisite_for,high,printed p. 60; [10공수1-01-03] 적용 시 고려 사항,다항식의 곱셈은 중학교에서 학습한 내용을 토대로 고등학교에서 추가된 내용을 이해하게 한다,고려 사항이 중학교 다항식의 곱셈·인수분해를 토대로 지목한다.
cross_edge_006,m1_factor_factorization,인수분해,middle,중3(교육과정 학년군: 중1-3),hs1_factorization,다항식의 인수분해,hs_common,고1,prerequisite_for,high,printed p. 60; [10공수1-01-03] 적용 시 고려 사항,다항식의 인수분해는 중학교에서 학습한 내용을 토대로 고등학교에서 추가된 내용을 이해하게 한다,고려 사항이 중학교 인수분해를 토대로 지목한다.
cross_edge_007,m1_calc_polynomial_divided_by_monomial_termwise,다항식의 각 항을 단항식으로 나누기,middle,중1(교육과정 학년군: 중1-3),hs1_synthetic_div,조립제법,hs_common,고1,prerequisite_for,high,printed p. 60; [10공수1-01-03] 적용 시 고려 사항,조립제법은 중학교에서 학습한 다항식을 단항식으로 나누는 연산과 연계하여 이해하게 한다,고려 사항이 중학교 다항식÷단항식 연산을 조립제법의 연계 대상으로 지목한다.
cross_edge_008,m1_system_simultaneous_linear_equations,연립일차방정식,middle,중1(교육과정 학년군: 중1-3),hs1_system_ineq,연립일차부등식 풀기,hs_common,고1,prerequisite_for,high,printed p. 62; [10공수1-02-09] 적용 시 고려 사항,연립부등식은 중학교에서 학습한 연립일차방정식 내용을 토대로 이해하게 한다,고려 사항이 중학교 연립일차방정식을 연립부등식의 토대로 지목한다.
cross_edge_009,m1_data_counting_cases,경우의 수,middle,중2(교육과정 학년군: 중1-3),hs1_addition_rule,합의 법칙,hs_common,고1,prerequisite_for,high,printed p. 62; [10공수1-03-01] 적용 시 고려 사항,중학교에서 학습한 경우의 수와 연계하여 합의 법칙을 간단히 다룬다,고려 사항이 중학교 경우의 수를 합의 법칙의 연계 대상으로 지목한다.
cross_edge_010,m1_data_counting_cases,경우의 수,middle,중2(교육과정 학년군: 중1-3),hs1_mult_rule,곱의 법칙,hs_common,고1,prerequisite_for,high,printed p. 62; [10공수1-03-01] 적용 시 고려 사항,중학교에서 학습한 경우의 수와 연계하여 곱의 법칙을 간단히 다룬다,고려 사항이 중학교 경우의 수를 곱의 법칙의 연계 대상으로 지목한다.
