legacy_record_type,legacy_id,legacy_label_ko,legacy_grade,legacy_domain,legacy_unit,coverage_status,matched_concept_ids,matched_concept_labels,candidate_action,confidence,source_note,notes
achievement_concept_tag,achievement:9수01-01:인수분해,인수분해,중1-3,수와 연산,9수01-01,covered_by_label,m1_factor_factorization,인수분해,no_action_existing_concept,medium,"Legacy hierarchy is a supporting, non-authoritative candidate source; confirm with official curriculum or textbook evidence before merging. Legacy source detail: pdf: 02_[별책8] 수학과 교육과정.pdf; page: 39; basis: 2022 개정 수학과 교육과정 공통 교육과정 성취기준",Matched by normalized label.
achievement_concept_tag,achievement:9수01-01:자연수,자연수,중1-3,수와 연산,9수01-01,covered_by_label,m1_num_natural_number,자연수,no_action_existing_concept,medium,"Legacy hierarchy is a supporting, non-authoritative candidate source; confirm with official curriculum or textbook evidence before merging. Legacy source detail: pdf: 02_[별책8] 수학과 교육과정.pdf; page: 39; basis: 2022 개정 수학과 교육과정 공통 교육과정 성취기준",Matched by normalized label.
achievement_concept_tag,achievement:9수01-02:배수,배수,중1-3,수와 연산,9수01-02,covered_by_label,m1_num_multiple,배수,no_action_existing_concept,medium,"Legacy hierarchy is a supporting, non-authoritative candidate source; confirm with official curriculum or textbook evidence before merging. Legacy source detail: pdf: 02_[별책8] 수학과 교육과정.pdf; page: 39; basis: 2022 개정 수학과 교육과정 공통 교육과정 성취기준",Matched by normalized label.
achievement_concept_tag,achievement:9수01-02:약수,약수,중1-3,수와 연산,9수01-02,covered_by_label,m1_num_divisor,약수,no_action_existing_concept,medium,"Legacy hierarchy is a supporting, non-authoritative candidate source; confirm with official curriculum or textbook evidence before merging. Legacy source detail: pdf: 02_[별책8] 수학과 교육과정.pdf; page: 39; basis: 2022 개정 수학과 교육과정 공통 교육과정 성취기준",Matched by normalized label.
achievement_concept_tag,achievement:9수01-02:유리수,유리수,중1-3,수와 연산,9수01-02,covered_by_label,m1_num_rational_number,유리수,no_action_existing_concept,medium,"Legacy hierarchy is a supporting, non-authoritative candidate source; confirm with official curriculum or textbook evidence before merging. Legacy source detail: pdf: 02_[별책8] 수학과 교육과정.pdf; page: 39; basis: 2022 개정 수학과 교육과정 공통 교육과정 성취기준",Matched by normalized label.
achievement_concept_tag,achievement:9수01-02:인수분해,인수분해,중1-3,수와 연산,9수01-02,covered_by_label,m1_factor_factorization,인수분해,no_action_existing_concept,medium,"Legacy hierarchy is a supporting, non-authoritative candidate source; confirm with official curriculum or textbook evidence before merging. Legacy source detail: pdf: 02_[별책8] 수학과 교육과정.pdf; page: 39; basis: 2022 개정 수학과 교육과정 공통 교육과정 성취기준",Matched by normalized label.
achievement_concept_tag,achievement:9수01-02:정수,정수,중1-3,수와 연산,9수01-02,covered_by_label,m1_num_integer,정수,no_action_existing_concept,medium,"Legacy hierarchy is a supporting, non-authoritative candidate source; confirm with official curriculum or textbook evidence before merging. Legacy source detail: pdf: 02_[별책8] 수학과 교육과정.pdf; page: 39; basis: 2022 개정 수학과 교육과정 공통 교육과정 성취기준",Matched by normalized label.
achievement_concept_tag,achievement:9수01-03:유리수,유리수,중1-3,수와 연산,9수01-03,covered_by_label,m1_num_rational_number,유리수,no_action_existing_concept,medium,"Legacy hierarchy is a supporting, non-authoritative candidate source; confirm with official curriculum or textbook evidence before merging. Legacy source detail: pdf: 02_[별책8] 수학과 교육과정.pdf; page: 39; basis: 2022 개정 수학과 교육과정 공통 교육과정 성취기준",Matched by normalized label.
achievement_concept_tag,achievement:9수01-03:정수,정수,중1-3,수와 연산,9수01-03,covered_by_label,m1_num_integer,정수,no_action_existing_concept,medium,"Legacy hierarchy is a supporting, non-authoritative candidate source; confirm with official curriculum or textbook evidence before merging. Legacy source detail: pdf: 02_[별책8] 수학과 교육과정.pdf; page: 39; basis: 2022 개정 수학과 교육과정 공통 교육과정 성취기준",Matched by normalized label.
achievement_concept_tag,achievement:9수01-04:유리수,유리수,중1-3,수와 연산,9수01-04,covered_by_label,m1_num_rational_number,유리수,no_action_existing_concept,medium,"Legacy hierarchy is a supporting, non-authoritative candidate source; confirm with official curriculum or textbook evidence before merging. Legacy source detail: pdf: 02_[별책8] 수학과 교육과정.pdf; page: 39; basis: 2022 개정 수학과 교육과정 공통 교육과정 성취기준",Matched by normalized label.
achievement_concept_tag,achievement:9수01-04:정수,정수,중1-3,수와 연산,9수01-04,covered_by_label,m1_num_integer,정수,no_action_existing_concept,medium,"Legacy hierarchy is a supporting, non-authoritative candidate source; confirm with official curriculum or textbook evidence before merging. Legacy source detail: pdf: 02_[별책8] 수학과 교육과정.pdf; page: 39; basis: 2022 개정 수학과 교육과정 공통 교육과정 성취기준",Matched by normalized label.
achievement_concept_tag,achievement:9수01-05:소수,소수,중1-3,수와 연산,9수01-05,covered_by_label,m1_num_prime_number,소수,no_action_existing_concept,medium,"Legacy hierarchy is a supporting, non-authoritative candidate source; confirm with official curriculum or textbook evidence before merging. Legacy source detail: pdf: 02_[별책8] 수학과 교육과정.pdf; page: 39; basis: 2022 개정 수학과 교육과정 공통 교육과정 성취기준",Matched by normalized label.
achievement_concept_tag,achievement:9수01-05:순환소수,순환소수,중1-3,수와 연산,9수01-05,covered_by_label,m1_num_repeating_decimal,순환소수,no_action_existing_concept,medium,"Legacy hierarchy is a supporting, non-authoritative candidate source; confirm with official curriculum or textbook evidence before merging. Legacy source detail: pdf: 02_[별책8] 수학과 교육과정.pdf; page: 39; basis: 2022 개정 수학과 교육과정 공통 교육과정 성취기준",Matched by normalized label.
achievement_concept_tag,achievement:9수01-05:원,원,중1-3,수와 연산,9수01-05,covered_by_label,m1_geo_circle,원,no_action_existing_concept,medium,"Legacy hierarchy is a supporting, non-authoritative candidate source; confirm with official curriculum or textbook evidence before merging. Legacy source detail: pdf: 02_[별책8] 수학과 교육과정.pdf; page: 39; basis: 2022 개정 수학과 교육과정 공통 교육과정 성취기준",Matched by normalized label.
achievement_concept_tag,achievement:9수01-05:유리수,유리수,중1-3,수와 연산,9수01-05,covered_by_label,m1_num_rational_number,유리수,no_action_existing_concept,medium,"Legacy hierarchy is a supporting, non-authoritative candidate source; confirm with official curriculum or textbook evidence before merging. Legacy source detail: pdf: 02_[별책8] 수학과 교육과정.pdf; page: 39; basis: 2022 개정 수학과 교육과정 공통 교육과정 성취기준",Matched by normalized label.
