concept_id,label_ko,grade,domain,unit,concept_type,confidence,source_ref_count,current_sources,match_count,matched_terms,matched_pages,first_matched_page,candidate_status,recommended_action,notes
m1_num_ratio,비,중1(교육과정 학년군: 중1-3),수와 연산,공통 선수개념,term,low,15,achievement_math_2022; achievement_research_report_2022; curriculum_math_2022,77,비율,61; 91; 172; 177; 180; 181; 183; 184; 185; 187; 188; 192; 194; 195; 208; 209; 260; 262,61,research_report_signal,inspect_research_report_context_before_confidence_change,"Research-report occurrence is a candidate signal, not an automatic source_ref upgrade."
m1_func_input_value,입력값,중1(교육과정 학년군: 중1-3),변화와 관계,일차함수와 그 그래프,term,low,2,achievement_math_2022; curriculum_math_2022,11,입력,193; 196; 253; 254; 259,193,research_report_signal,inspect_research_report_context_before_confidence_change,"Research-report occurrence is a candidate signal, not an automatic source_ref upgrade."
m1_geo_figure,도형,중학교(교육과정 학년군: 중1-3),도형과 측정,도형과 측정,core_concept,medium,4,achievement_math_2022; curriculum_math_2022,433,도형,9; 12; 23; 26; 45; 46; 60; 61; 62; 76; 77; 78; 79; 80; 84; 85; 86; 103; 108; 109; 110; 111; 112; 113,9,research_report_signal,inspect_research_report_context_before_source_ref_upgrade,"Research-report occurrence is a candidate signal, not an automatic source_ref upgrade."
m1_geo_triangle,삼각형,중학교(교육과정 학년군: 중1-3),도형과 측정,도형과 측정,core_concept,medium,9,achievement_math_2022; achievement_research_report_2022; curriculum_math_2022,367,삼각형,60; 62; 77; 78; 79; 80; 84; 85; 86; 103; 108; 109; 111; 112; 113; 114; 115; 118; 119; 120; 131; 135; 138; 139,60,research_report_signal,inspect_research_report_context_before_source_ref_upgrade,"Research-report occurrence is a candidate signal, not an automatic source_ref upgrade."
m1_num_addition,덧셈,중1(교육과정 학년군: 중1-3),수와 연산,정수와 유리수,procedure,medium,3,achievement_math_2022; achievement_research_report_2022; curriculum_math_2022,190,덧셈,26; 47; 48; 55; 56; 57; 58; 59; 60; 101; 105; 107; 108; 109; 110; 125; 127; 128; 129; 132; 133; 134; 136; 137,26,research_report_signal,inspect_research_report_context_before_source_ref_upgrade,"Research-report occurrence is a candidate signal, not an automatic source_ref upgrade."
m1_num_subtraction,뺄셈,중1(교육과정 학년군: 중1-3),수와 연산,정수와 유리수,procedure,medium,3,achievement_math_2022; achievement_research_report_2022; curriculum_math_2022,184,뺄셈,26; 47; 48; 55; 56; 57; 58; 59; 60; 101; 105; 107; 108; 109; 110; 125; 127; 128; 129; 132; 133; 134; 136; 137,26,research_report_signal,inspect_research_report_context_before_source_ref_upgrade,"Research-report occurrence is a candidate signal, not an automatic source_ref upgrade."
m1_geo_length,길이,중학교(교육과정 학년군: 중1-3),도형과 측정,도형과 측정,term,medium,7,achievement_math_2022; achievement_research_report_2022; curriculum_math_2022,164,길이,62; 77; 78; 79; 80; 82; 104; 105; 108; 109; 110; 133; 138; 139; 144; 159; 205; 213; 222; 224; 225; 231; 235; 236,62,research_report_signal,inspect_research_report_context_before_source_ref_upgrade,"Research-report occurrence is a candidate signal, not an automatic source_ref upgrade."
m1_num_multiplication,곱셈,중1(교육과정 학년군: 중1-3),수와 연산,정수와 유리수,procedure,medium,3,achievement_math_2022; achievement_research_report_2022; curriculum_math_2022,136,곱셈,26; 47; 48; 54; 57; 58; 59; 61; 102; 107; 126; 127; 136; 137; 141; 165; 168; 170; 171; 179; 180; 212; 213; 216,26,research_report_signal,inspect_research_report_context_before_source_ref_upgrade,"Research-report occurrence is a candidate signal, not an automatic source_ref upgrade."
m1_geo_area,넓이,중학교(교육과정 학년군: 중1-3),도형과 측정,도형과 측정,term,medium,7,achievement_math_2022; achievement_research_report_2022; curriculum_math_2022,129,넓이,62; 77; 78; 79; 80; 104; 108; 109; 175; 176; 181; 182; 222; 224; 225; 235; 236; 237; 238; 242; 244; 247; 263; 269,62,research_report_signal,inspect_research_report_context_before_source_ref_upgrade,"Research-report occurrence is a candidate signal, not an automatic source_ref upgrade."
m1_num_division,나눗셈,중1(교육과정 학년군: 중1-3),수와 연산,정수와 유리수,procedure,medium,3,achievement_math_2022; achievement_research_report_2022; curriculum_math_2022,81,나눗셈,26; 57; 58; 59; 126; 127; 136; 137; 168; 170; 171; 179; 180; 212; 213; 216; 232; 233; 234,26,research_report_signal,inspect_research_report_context_before_source_ref_upgrade,"Research-report occurrence is a candidate signal, not an automatic source_ref upgrade."
