concept_id,label_ko,grade,domain,unit,confidence,source_ref_count,source_count,evidence_kind_count,sources,evidence_kinds,has_curriculum_evidence,has_achievement_evidence,has_textbook_evidence,evidence_depth,needs_textbook_evidence
m1_num_domain,수와 연산,중학교(교육과정 학년군: 중1-3),수와 연산,수와 연산,high,10,1,1,curriculum_math_2022,achievement_standard,yes,no,no,official_single_source,yes
m1_num_prime_factor_unit,소인수분해,중1(교육과정 학년군: 중1-3),수와 연산,소인수분해,high,5,2,3,achievement_math_2022; curriculum_math_2022,achievement_level; achievement_standard; teaching_note,yes,yes,no,official_dual_source,yes
m1_num_natural_number,자연수,중1(교육과정 학년군: 중1-3),수와 연산,소인수분해,high,3,2,3,achievement_math_2022; curriculum_math_2022,achievement_level; achievement_standard; teaching_note,yes,yes,no,official_dual_source,yes
m1_num_prime_number,소수,중1(교육과정 학년군: 중1-3),수와 연산,소인수분해,high,3,2,3,achievement_math_2022; curriculum_math_2022,achievement_level; achievement_standard; term_list,yes,yes,no,official_dual_source,yes
m1_num_composite_number,합성수,중1(교육과정 학년군: 중1-3),수와 연산,소인수분해,high,3,2,3,achievement_math_2022; curriculum_math_2022,achievement_level; achievement_standard; term_list,yes,yes,no,official_dual_source,yes
m1_num_prime_factor,소인수,중1(교육과정 학년군: 중1-3),수와 연산,소인수분해,high,3,2,3,achievement_math_2022; curriculum_math_2022,achievement_level; achievement_standard; term_list,yes,yes,no,official_dual_source,yes
m1_num_prime_factorization,소인수분해,중1(교육과정 학년군: 중1-3),수와 연산,소인수분해,high,3,2,3,achievement_math_2022; curriculum_math_2022,achievement_level; achievement_standard; term_list,yes,yes,no,official_dual_source,yes
m1_num_prime_factor_product,소인수의 곱으로 표현하기,중1(교육과정 학년군: 중1-3),수와 연산,소인수분해,high,2,2,2,achievement_math_2022; curriculum_math_2022,achievement_level; achievement_standard,yes,yes,no,official_dual_source,yes
m1_num_prime_factorization_meaning_explanation,소인수분해의 뜻 설명하기,중1(교육과정 학년군: 중1-3),수와 연산,소인수분해,high,3,2,3,achievement_math_2022; curriculum_math_2022,achievement_level; achievement_standard; term_list,yes,yes,no,official_dual_source,yes
m1_num_prime_factorization_guided_procedure,안내된 절차에 따라 소인수분해하기,중1(교육과정 학년군: 중1-3),수와 연산,소인수분해,high,2,2,2,achievement_math_2022; curriculum_math_2022,achievement_level; achievement_standard,yes,yes,no,official_dual_source,yes
