rank,grade,domain,unit,concept_count,needs_textbook_evidence_count,low_confidence_count,official_single_source_count,official_dual_source_count,textbook_supported_count,priority_score,priority_tier,next_action
1,중1(교육과정 학년군: 중1-3),변화와 관계,좌표평면과 그래프,43,43,9,13,30,0,105,highest,textbook_evidence_for_low_confidence
2,중1(교육과정 학년군: 중1-3),변화와 관계,일차함수와 그 그래프,33,33,11,8,25,0,93,highest,textbook_evidence_for_low_confidence
3,중2(교육과정 학년군: 중1-3),자료와 가능성,경우의 수와 확률,26,26,6,11,15,0,72,highest,textbook_evidence_for_low_confidence
4,중3(교육과정 학년군: 중1-3),변화와 관계,이차함수와 그 그래프,30,30,3,13,17,0,68,highest,textbook_evidence_for_low_confidence
5,중1(교육과정 학년군: 중1-3),수와 연산,정수와 유리수,41,41,5,2,39,0,65,highest,textbook_evidence_for_low_confidence
6,중1(교육과정 학년군: 중1-3),자료와 가능성,도수분포표와 상대도수,33,33,4,4,29,0,57,highest,textbook_evidence_for_low_confidence
7,중3(교육과정 학년군: 중1-3),변화와 관계,이차방정식,22,22,5,7,15,0,56,highest,textbook_evidence_for_low_confidence
8,중1(교육과정 학년군: 중1-3),변화와 관계,일차방정식,31,31,3,5,26,0,53,highest,textbook_evidence_for_low_confidence
9,중1(교육과정 학년군: 중1-3),변화와 관계,문자의 사용과 식,24,24,3,6,18,0,48,highest,textbook_evidence_for_low_confidence
10,중3(교육과정 학년군: 중1-3),수와 연산,제곱근과 실수,25,25,3,4,21,0,45,highest,textbook_evidence_for_low_confidence
11,중3(교육과정 학년군: 중1-3),변화와 관계,다항식의 곱셈과 인수분해,20,20,4,2,18,0,40,highest,textbook_evidence_for_low_confidence
12,중1(교육과정 학년군: 중1-3),도형과 측정,기본 도형,22,22,2,0,22,0,30,high,textbook_evidence_for_low_confidence
13,중1(교육과정 학년군: 중1-3),수와 연산,소인수분해,15,15,2,2,13,0,27,high,textbook_evidence_for_low_confidence
14,중1(교육과정 학년군: 중1-3),도형과 측정,입체도형의 성질,17,17,2,1,16,0,27,high,textbook_evidence_for_low_confidence
15,중1(교육과정 학년군: 중1-3),변화와 관계,식의 계산,14,14,2,2,12,0,26,high,textbook_evidence_for_low_confidence
16,중1(교육과정 학년군: 중1-3),도형과 측정,평면도형의 성질,16,16,1,3,13,0,26,high,textbook_evidence_for_low_confidence
17,중1(교육과정 학년군: 중1-3),변화와 관계,연립일차방정식,13,13,3,0,13,0,25,high,textbook_evidence_for_low_confidence
18,중3(교육과정 학년군: 중1-3),도형과 측정,삼각비,11,11,2,3,8,0,25,high,textbook_evidence_for_low_confidence
19,중2(교육과정 학년군: 중1-3),도형과 측정,삼각형과 사각형의 성질,16,16,2,0,16,0,24,high,textbook_evidence_for_low_confidence
20,중3(교육과정 학년군: 중1-3),도형과 측정,원의 성질,13,13,2,1,12,0,23,high,textbook_evidence_for_low_confidence
21,중1(교육과정 학년군: 중1-3),변화와 관계,일차부등식,11,11,2,1,10,0,21,high,textbook_evidence_for_low_confidence
22,중1(교육과정 학년군: 중1-3),변화와 관계,일차함수와 일차방정식의 관계,9,9,1,3,6,0,19,medium,textbook_evidence_for_low_confidence
23,중2(교육과정 학년군: 중1-3),수와 연산,유리수와 순환소수,10,10,1,2,8,0,18,medium,textbook_evidence_for_low_confidence
24,중2(교육과정 학년군: 중1-3),도형과 측정,도형의 닮음,11,11,1,0,11,0,15,medium,textbook_evidence_for_low_confidence
25,중3(교육과정 학년군: 중1-3),자료와 가능성,상자그림과 산점도,11,11,1,0,11,0,15,medium,textbook_evidence_for_low_confidence
26,중3(교육과정 학년군: 중1-3),자료와 가능성,산포도,8,8,1,0,8,0,12,medium,textbook_evidence_for_low_confidence
27,중1(교육과정 학년군: 중1-3),자료와 가능성,대푯값,7,7,1,0,7,0,11,medium,textbook_evidence_for_low_confidence
28,중1(교육과정 학년군: 중1-3),도형과 측정,작도와 합동,8,8,0,0,8,0,8,medium,add_textbook_page_refs
29,중학교(교육과정 학년군: 중1-3),도형과 측정,도형과 측정,5,5,0,1,4,0,7,low,confirm_official_single_source_concepts
30,중2(교육과정 학년군: 중1-3),도형과 측정,피타고라스 정리,6,6,0,0,6,0,6,low,add_textbook_page_refs
31,중1(교육과정 학년군: 중1-3),수와 연산,공통 선수개념,1,1,1,0,1,0,5,low,textbook_evidence_for_low_confidence
32,중학교(교육과정 학년군: 중1-3),수와 연산,수와 연산,1,1,0,1,0,0,3,low,confirm_official_single_source_concepts
33,중학교(교육과정 학년군: 중1-3),자료와 가능성,자료와 가능성,1,1,0,1,0,0,3,low,confirm_official_single_source_concepts
34,중1(교육과정 학년군: 중1-3),자료와 가능성,자료와 가능성,2,2,0,0,2,0,2,low,add_textbook_page_refs
