edge_id,source_id,source_label_ko,source_grade,source_domain,source_unit,target_id,target_label_ko,target_grade,target_domain,target_unit,relationship_type,edge_scope,confidence,source_ref_count,source_count,evidence_kind_count,sources,evidence_kinds,has_curriculum_evidence,has_achievement_evidence,has_textbook_evidence,evidence_depth,needs_textbook_evidence,notes
m1_num_domain__contains__m1_num_prime_factor_unit,m1_num_domain,수와 연산,중학교(교육과정 학년군: 중1-3),수와 연산,수와 연산,m1_num_prime_factor_unit,소인수분해,중1(교육과정 학년군: 중1-3),수와 연산,소인수분해,contains,cross_grade_same_domain,high,2,1,1,curriculum_math_2022,achievement_standard,yes,no,no,official_single_source,yes,
m1_num_domain__contains__m1_num_integer_rational_unit,m1_num_domain,수와 연산,중학교(교육과정 학년군: 중1-3),수와 연산,수와 연산,m1_num_integer_rational_unit,정수와 유리수,중1(교육과정 학년군: 중1-3),수와 연산,정수와 유리수,contains,cross_grade_same_domain,high,3,1,1,curriculum_math_2022,achievement_standard,yes,no,no,official_single_source,yes,
m1_num_domain__contains__m1_num_repeating_decimal_unit,m1_num_domain,수와 연산,중학교(교육과정 학년군: 중1-3),수와 연산,수와 연산,m1_num_repeating_decimal_unit,유리수와 순환소수,중2(교육과정 학년군: 중1-3),수와 연산,유리수와 순환소수,contains,cross_grade_same_domain,high,1,1,1,curriculum_math_2022,achievement_standard,yes,no,no,official_single_source,yes,
m1_num_domain__contains__m1_num_square_root_real_unit,m1_num_domain,수와 연산,중학교(교육과정 학년군: 중1-3),수와 연산,수와 연산,m1_num_square_root_real_unit,제곱근과 실수,중3(교육과정 학년군: 중1-3),수와 연산,제곱근과 실수,contains,cross_grade_same_domain,high,4,1,1,curriculum_math_2022,achievement_standard,yes,no,no,official_single_source,yes,
m1_num_prime_factor_unit__contains__m1_num_prime_number,m1_num_prime_factor_unit,소인수분해,중1(교육과정 학년군: 중1-3),수와 연산,소인수분해,m1_num_prime_number,소수,중1(교육과정 학년군: 중1-3),수와 연산,소인수분해,contains,same_unit,high,3,2,3,achievement_math_2022; curriculum_math_2022,achievement_level; achievement_standard; term_list,yes,yes,no,official_dual_source,yes,
m1_num_prime_factor_unit__contains__m1_num_composite_number,m1_num_prime_factor_unit,소인수분해,중1(교육과정 학년군: 중1-3),수와 연산,소인수분해,m1_num_composite_number,합성수,중1(교육과정 학년군: 중1-3),수와 연산,소인수분해,contains,same_unit,high,3,2,3,achievement_math_2022; curriculum_math_2022,achievement_level; achievement_standard; term_list,yes,yes,no,official_dual_source,yes,
m1_num_prime_factor_unit__contains__m1_num_prime_factor,m1_num_prime_factor_unit,소인수분해,중1(교육과정 학년군: 중1-3),수와 연산,소인수분해,m1_num_prime_factor,소인수,중1(교육과정 학년군: 중1-3),수와 연산,소인수분해,contains,same_unit,high,3,2,3,achievement_math_2022; curriculum_math_2022,achievement_level; achievement_standard; term_list,yes,yes,no,official_dual_source,yes,
m1_num_prime_factor_unit__contains__m1_num_prime_factorization,m1_num_prime_factor_unit,소인수분해,중1(교육과정 학년군: 중1-3),수와 연산,소인수분해,m1_num_prime_factorization,소인수분해,중1(교육과정 학년군: 중1-3),수와 연산,소인수분해,contains,same_unit,high,3,2,3,achievement_math_2022; curriculum_math_2022,achievement_level; achievement_standard; term_list,yes,yes,no,official_dual_source,yes,
m1_num_prime_factor_unit__contains__m1_num_coprime,m1_num_prime_factor_unit,소인수분해,중1(교육과정 학년군: 중1-3),수와 연산,소인수분해,m1_num_coprime,서로소,중1(교육과정 학년군: 중1-3),수와 연산,소인수분해,contains,same_unit,medium,2,1,2,curriculum_math_2022,achievement_standard; term_list,yes,no,no,official_single_source,yes,
m1_num_prime_factor_unit__contains__m1_num_divisor,m1_num_prime_factor_unit,소인수분해,중1(교육과정 학년군: 중1-3),수와 연산,소인수분해,m1_num_divisor,약수,중1(교육과정 학년군: 중1-3),수와 연산,소인수분해,contains,same_unit,medium,3,2,3,achievement_math_2022; curriculum_math_2022,achievement_level; achievement_standard; teaching_note,yes,yes,no,official_dual_source,yes,
