candidate_label,occurrence_count,legacy_domains,legacy_units,resolution_status,resolution_action,candidate_concept_type,candidate_confidence,possible_existing_concept_ids,possible_existing_concept_labels,evidence_basis,notes
곱셈,3,변화와 관계,9수02-10; 9수02-18; 9수02-19,foundational_prerequisite_candidate,review_for_low_confidence_prerequisite_node,term,low,m1_calc_monomial_mul_div; m1_calc_monomial_polynomial_mul_div; m1_data_multiplication_counting; m1_factor_formula_scope; m1_factor_polynomial_multiplication; m1_factor_unit; m1_mis_factor_formula_pattern; m1_num_four_operations; m1_num_integer_rational_mul_div,곱셈·인수분해 공식을 기계적으로 끼워 맞추는 오류; 다항식의 곱셈; 다항식의 곱셈과 인수분해; 다항식의 곱셈과 인수분해 공식 범위; 단항식과 다항식의 곱셈과 나눗셈; 단항식의 곱셈과 나눗셈; 두 경우의 수를 곱하는 상황; 정수와 유리수의 곱셈과 나눗셈; 정수와 유리수의 사칙계산,legacy-gap-audit needs_review rows; official source confirmation required,Review as a foundational prerequisite concept before adding or linking it.
길이,2,도형과 측정,9수03-06; 9수03-14,foundational_prerequisite_candidate,review_for_low_confidence_prerequisite_node,term,low,m1_geo_parallel_segment_ratio; m1_geo_right_triangle_judgement; m1_geo_sector_arc_length_area; m1_geo_tangent_length; m1_num_unit_square_diagonal,부채꼴의 호의 길이와 넓이 구하기; 세 변의 길이로 직각삼각형 판별; 접선의 길이; 평행선 사이의 선분의 길이의 비; 한 변의 길이가 1인 정사각형의 대각선,legacy-gap-audit needs_review rows; official source confirmation required,Review as a foundational prerequisite concept before adding or linking it.
나눗셈,1,변화와 관계,9수02-10,foundational_prerequisite_candidate,review_for_low_confidence_prerequisite_node,term,low,m1_calc_monomial_mul_div; m1_calc_monomial_polynomial_mul_div; m1_mis_polynomial_division_scope; m1_num_four_operations; m1_num_integer_rational_mul_div,다항식을 단항식으로 나누는 범위 혼동; 단항식과 다항식의 곱셈과 나눗셈; 단항식의 곱셈과 나눗셈; 정수와 유리수의 곱셈과 나눗셈; 정수와 유리수의 사칙계산,legacy-gap-audit needs_review rows; official source confirmation required,Review as a foundational prerequisite concept before adding or linking it.
넓이,2,도형과 측정,9수03-06; 9수03-08,foundational_prerequisite_candidate,review_for_low_confidence_prerequisite_node,term,low,m1_geo_sector_arc_length_area; m1_geo_surface_area; m1_geo_trig_triangle_area; m1_mis_complex_area_volume_scope; m1_mis_surface_area_volume,겉넓이; 겉넓이와 부피를 같은 측정량으로 보는 오류; 부채꼴의 호의 길이와 넓이 구하기; 삼각비를 이용한 삼각형의 넓이; 지나치게 복잡한 넓이·부피 변형 문제 범위 혼동,legacy-gap-audit needs_review rows; official source confirmation required,Review as a foundational prerequisite concept before adding or linking it.
덧셈,2,변화와 관계,9수02-02; 9수02-09,foundational_prerequisite_candidate,review_for_low_confidence_prerequisite_node,term,low,m1_calc_polynomial_add_sub; m1_data_addition_counting; m1_expr_add_sub_linear_expression; m1_mis_radical_like_terms; m1_mis_sign_operation; m1_num_four_operations; m1_num_integer_rational_add_sub,근호 안의 수가 다른 제곱근을 동류항처럼 더하는 오류; 다항식의 덧셈과 뺄셈; 두 경우의 수를 합하는 상황; 부호와 연산 기호를 혼동하는 오류; 일차식의 덧셈과 뺄셈; 정수와 유리수의 덧셈과 뺄셈; 정수와 유리수의 사칙계산,legacy-gap-audit needs_review rows; official source confirmation required,Review as a foundational prerequisite concept before adding or linking it.
도형,5,도형과 측정,9수03-04; 9수03-06; 9수03-08; 9수03-11; 9수03-12,foundational_prerequisite_candidate,review_for_low_confidence_prerequisite_node,core_concept,low,m1_geo_basic_unit; m1_geo_correspondence; m1_geo_domain; m1_geo_model_tool_solid; m1_geo_plane_properties_unit; m1_geo_prism; m1_geo_pyramid; m1_geo_similar_figures; m1_geo_similarity_unit; m1_geo_solid_cross_section; m1_geo_solid_unit,기둥 모양 입체도형; 기본 도형; 닮은 도형; 도형과 측정; 도형의 닮음; 도형의 대응; 모형과 공학 도구로 입체도형 탐구; 뿔 모양 입체도형; 입체도형의 단면; 입체도형의 성질; 평면도형의 성질,legacy-gap-audit needs_review rows; official source confirmation required,Review as a foundational prerequisite concept before adding or linking it.
배수,1,수와 연산,9수01-02,foundational_prerequisite_candidate,review_for_low_confidence_prerequisite_node,term,low,m1_mis_gcd_lcm_scope; m1_num_find_gcd_lcm_prime_factorization; m1_num_lcm,소인수분해로 최대공약수와 최소공배수 구하기; 최대공약수·최소공배수 활용 문제를 범위로 오인하는 오류; 최소공배수,legacy-gap-audit needs_review rows; official source confirmation required,Review as a foundational prerequisite concept before adding or linking it.
비,7,도형과 측정; 변화와 관계; 자료와 가능성,9수02-07; 9수03-12; 9수03-14; 9수03-15; 9수03-16; 9수03-17; 9수04-08,foundational_prerequisite_candidate,review_for_low_confidence_prerequisite_node,term,low,,,legacy-gap-audit needs_review rows; official source confirmation required,Review as a foundational prerequisite concept before adding or linking it.
뺄셈,2,변화와 관계,9수02-02; 9수02-09,foundational_prerequisite_candidate,review_for_low_confidence_prerequisite_node,term,low,m1_calc_polynomial_add_sub; m1_expr_add_sub_linear_expression; m1_mis_sign_operation; m1_num_four_operations; m1_num_integer_rational_add_sub,다항식의 덧셈과 뺄셈; 부호와 연산 기호를 혼동하는 오류; 일차식의 덧셈과 뺄셈; 정수와 유리수의 덧셈과 뺄셈; 정수와 유리수의 사칙계산,legacy-gap-audit needs_review rows; official source confirmation required,Review as a foundational prerequisite concept before adding or linking it.
삼각형,6,도형과 측정,9수03-03; 9수03-04; 9수03-08; 9수03-09; 9수03-10; 9수03-13,foundational_prerequisite_candidate,review_for_low_confidence_prerequisite_node,core_concept,low,m1_geo_construction_congruence_unit; m1_geo_isosceles_properties; m1_geo_isosceles_triangle; m1_geo_right_triangle; m1_geo_right_triangle_judgement; m1_geo_right_triangle_trig_value; m1_geo_similarity_judgement; m1_geo_triangle_congruence_conditions; m1_geo_triangle_congruence_judgement; m1_geo_triangle_construction; m1_geo_triangle_midpoint_theorem; m1_geo_triangle_quadrilateral_unit,삼각형과 사각형의 성질; 삼각형의 닮음 판별; 삼각형의 작도; 삼각형의 중점연결정리; 삼각형의 합동 조건; 삼각형의 합동 판별; 세 변의 길이로 직각삼각형 판별; 이등변삼각형; 이등변삼각형의 성질; 작도와 합동; 직각삼각형; 직각삼각형에서 삼각비 값 구하기,legacy-gap-audit needs_review rows; official source confirmation required,Review as a foundational prerequisite concept before adding or linking it.
