record_type,record_id,label_ko,alias_or_term,concept_ids,concept_labels,grade_domain_unit,relationship_status,recommended_action,confidence,source_ref_count,notes
concept_alias,m1_factor_sum_difference_product_formula,(a+b)(a-b) 공식,합과 차의 곱; a^2-b^2 공식,m1_factor_sum_difference_product_formula,(a+b)(a-b) 공식,중3(교육과정 학년군: 중1-3) > 변화와 관계 > 다항식의 곱셈과 인수분해,alias_on_concept,preserve_alias_and_check_textbook_wording,high,2,Aliases are stored on the concept node; add an equivalent_to edge only when sources treat two separate concepts as interchangeable.
concept_alias,m1_factor_square_sum_formula,(a+b)^2 공식,합의 제곱 공식; (a+b)^2=a^2+2ab+b^2,m1_factor_square_sum_formula,(a+b)^2 공식,중3(교육과정 학년군: 중1-3) > 변화와 관계 > 다항식의 곱셈과 인수분해,alias_on_concept,preserve_alias_and_check_textbook_wording,high,2,Aliases are stored on the concept node; add an equivalent_to edge only when sources treat two separate concepts as interchangeable.
concept_alias,m1_factor_square_difference_formula,(a-b)^2 공식,차의 제곱 공식; (a-b)^2=a^2-2ab+b^2,m1_factor_square_difference_formula,(a-b)^2 공식,중3(교육과정 학년군: 중1-3) > 변화와 관계 > 다항식의 곱셈과 인수분해,alias_on_concept,preserve_alias_and_check_textbook_wording,high,2,Aliases are stored on the concept node; add an equivalent_to edge only when sources treat two separate concepts as interchangeable.
concept_alias,m1_factor_linear_product_axb_cxd,(ax+b)(cx+d) 공식,일차식의 곱 일반형; acx^2+(ad+bc)x+bd,m1_factor_linear_product_axb_cxd,(ax+b)(cx+d) 공식,중3(교육과정 학년군: 중1-3) > 변화와 관계 > 다항식의 곱셈과 인수분해,alias_on_concept,preserve_alias_and_check_textbook_wording,high,2,Aliases are stored on the concept node; add an equivalent_to edge only when sources treat two separate concepts as interchangeable.
concept_alias,m1_factor_binomial_product_xab,(x+a)(x+b) 공식,x^2+(a+b)x+ab 공식,m1_factor_binomial_product_xab,(x+a)(x+b) 공식,중3(교육과정 학년군: 중1-3) > 변화와 관계 > 다항식의 곱셈과 인수분해,alias_on_concept,preserve_alias_and_check_textbook_wording,high,2,Aliases are stored on the concept node; add an equivalent_to edge only when sources treat two separate concepts as interchangeable.
concept_alias,m1_num_zero,0,영; zero,m1_num_zero,0,중1(교육과정 학년군: 중1-3) > 수와 연산 > 정수와 유리수,alias_on_concept,preserve_alias_and_check_textbook_wording,high,3,Aliases are stored on the concept node; add an equivalent_to edge only when sources treat two separate concepts as interchangeable.
concept_alias,m1_num_one_not_prime_or_composite,1은 소수도 합성수도 아님,1의 소수·합성수 제외,m1_num_one_not_prime_or_composite,1은 소수도 합성수도 아님,중1(교육과정 학년군: 중1-3) > 수와 연산 > 소인수분해,alias_on_concept,preserve_alias_and_check_textbook_wording,high,3,Aliases are stored on the concept node; add an equivalent_to edge only when sources treat two separate concepts as interchangeable.
concept_alias,m1_mis_prime_one,1을 소수나 합성수로 보는 오류,1의 분류 오류,m1_mis_prime_one,1을 소수나 합성수로 보는 오류,중1(교육과정 학년군: 중1-3) > 수와 연산 > 소인수분해,alias_on_concept,preserve_alias_and_check_textbook_wording,high,2,Aliases are stored on the concept node; add an equivalent_to edge only when sources treat two separate concepts as interchangeable.
concept_alias,m1_geo_special_angles_30_45_60,"30도, 45도, 60도의 삼각비",특수각 삼각비,m1_geo_special_angles_30_45_60,"30도, 45도, 60도의 삼각비",중3(교육과정 학년군: 중1-3) > 도형과 측정 > 삼각비,alias_on_concept,preserve_alias_and_check_textbook_wording,high,2,Aliases are stored on the concept node; add an equivalent_to edge only when sources treat two separate concepts as interchangeable.
concept_alias,m1_factor_common_factor_formula,m(a+b) 공식,공통인수 묶기 공식; m(a+b)=ma+mb,m1_factor_common_factor_formula,m(a+b) 공식,중3(교육과정 학년군: 중1-3) > 변화와 관계 > 다항식의 곱셈과 인수분해,alias_on_concept,preserve_alias_and_check_textbook_wording,high,1,Aliases are stored on the concept node; add an equivalent_to edge only when sources treat two separate concepts as interchangeable.
concept_alias,m1_func_x_increment,x의 증가량,x 증가량; x값의 증가량,m1_func_x_increment,x의 증가량,중1(교육과정 학년군: 중1-3) > 변화와 관계 > 일차함수와 그 그래프,alias_on_concept,preserve_alias_and_check_textbook_wording,high,1,Aliases are stored on the concept node; add an equivalent_to edge only when sources treat two separate concepts as interchangeable.
concept_alias,m1_func_x_intercept,x절편,x 절편,m1_func_x_intercept,x절편,중1(교육과정 학년군: 중1-3) > 변화와 관계 > 일차함수와 그 그래프,alias_on_concept,preserve_alias_and_check_textbook_wording,high,2,Aliases are stored on the concept node; add an equivalent_to edge only when sources treat two separate concepts as interchangeable.
concept_alias,m1_mis_x_y_intercept,x절편과 y절편 혼동,절편 혼동; 축 절편 오류,m1_mis_x_y_intercept,x절편과 y절편 혼동,중1(교육과정 학년군: 중1-3) > 변화와 관계 > 일차함수와 그 그래프,alias_on_concept,preserve_alias_and_check_textbook_wording,high,2,Aliases are stored on the concept node; add an equivalent_to edge only when sources treat two separate concepts as interchangeable.
concept_alias,m1_coord_x_coordinate,x좌표,x 좌표; 가로 좌표,m1_coord_x_coordinate,x좌표,중1(교육과정 학년군: 중1-3) > 변화와 관계 > 좌표평면과 그래프,alias_on_concept,preserve_alias_and_check_textbook_wording,high,2,Aliases are stored on the concept node; add an equivalent_to edge only when sources treat two separate concepts as interchangeable.
concept_alias,m1_coord_x_axis,x축,x 축; 가로축,m1_coord_x_axis,x축,중1(교육과정 학년군: 중1-3) > 변화와 관계 > 좌표평면과 그래프,alias_on_concept,preserve_alias_and_check_textbook_wording,high,1,Aliases are stored on the concept node; add an equivalent_to edge only when sources treat two separate concepts as interchangeable.
concept_alias,m1_coord_x_axis_point,x축 위의 점,x축상의 점; x축에 있는 점,m1_coord_x_axis_point,x축 위의 점,중1(교육과정 학년군: 중1-3) > 변화와 관계 > 좌표평면과 그래프,alias_on_concept,preserve_alias_and_check_textbook_wording,high,2,Aliases are stored on the concept node; add an equivalent_to edge only when sources treat two separate concepts as interchangeable.
concept_alias,m1_quad_func_shifted_square_form,y=a(x-p)^2 꼴,x방향 평행이동형; y=a(x-p)^2,m1_quad_func_shifted_square_form,y=a(x-p)^2 꼴,중3(교육과정 학년군: 중1-3) > 변화와 관계 > 이차함수와 그 그래프,alias_on_concept,preserve_alias_and_check_textbook_wording,high,2,Aliases are stored on the concept node; add an equivalent_to edge only when sources treat two separate concepts as interchangeable.
concept_alias,m1_quad_func_vertex_form,y=a(x-p)^2+q 꼴,꼭짓점형; vertex form,m1_quad_func_vertex_form,y=a(x-p)^2+q 꼴,중3(교육과정 학년군: 중1-3) > 변화와 관계 > 이차함수와 그 그래프,alias_on_concept,preserve_alias_and_check_textbook_wording,high,2,Aliases are stored on the concept node; add an equivalent_to edge only when sources treat two separate concepts as interchangeable.
concept_alias,m1_quad_func_y_ax2_graph,y=ax^2 그래프,기본 이차함수 그래프,m1_quad_func_y_ax2_graph,y=ax^2 그래프,중3(교육과정 학년군: 중1-3) > 변화와 관계 > 이차함수와 그 그래프,alias_on_concept,preserve_alias_and_check_textbook_wording,high,2,Aliases are stored on the concept node; add an equivalent_to edge only when sources treat two separate concepts as interchangeable.
