achievement_code,domain,concept_count,high_confidence_count,medium_confidence_count,low_confidence_count,concept_ids,concept_labels
9수01-01,수와 연산,9,8,0,1,m1_mis_prime_one; m1_num_composite_number; m1_num_domain; m1_num_natural_number; m1_num_prime_factor; m1_num_prime_factor_product; m1_num_prime_factor_unit; m1_num_prime_factorization; m1_num_prime_number,1을 소수나 합성수로 보는 오류; 합성수; 수와 연산; 자연수; 소인수; 소인수의 곱으로 표현하기; 소인수분해; 소인수분해; 소수
9수01-02,수와 연산,10,6,3,1,m1_mis_gcd_lcm_scope; m1_num_coprime; m1_num_divisor; m1_num_domain; m1_num_find_gcd_lcm_prime_factorization; m1_num_gcd; m1_num_lcm; m1_num_multiple; m1_num_natural_number; m1_num_prime_factor_unit,최대공약수·최소공배수 활용 문제를 범위로 오인하는 오류; 서로소; 약수; 수와 연산; 소인수분해로 최대공약수와 최소공배수 구하기; 최대공약수; 최소공배수; 배수; 자연수; 소인수분해
9수01-03,수와 연산,13,11,2,0,m1_num_domain; m1_num_integer; m1_num_integer_rational_unit; m1_num_negative_integer; m1_num_negative_need; m1_num_negative_number; m1_num_negative_rational; m1_num_positive_integer; m1_num_positive_number; m1_num_positive_rational; m1_num_rational_fraction_form; m1_num_rational_number; m1_num_zero,수와 연산; 정수; 정수와 유리수; 음의 정수; 음수의 필요성; 음수; 음의 유리수; 양의 정수; 양수; 양의 유리수; 유리수의 분수 꼴 표현; 유리수; 0
9수01-04,수와 연산,9,5,1,3,m1_mis_absolute_value_positive; m1_mis_negative_order; m1_num_absolute_value; m1_num_domain; m1_num_integer_rational_unit; m1_num_number_line; m1_num_number_line_position_order; m1_num_opposite_numbers; m1_num_order_relation,절댓값을 항상 양수로만 말하는 오류; 음수의 대소를 절댓값 크기로 판단하는 오류; 절댓값; 수와 연산; 정수와 유리수; 수직선; 수직선에서 오른쪽에 있는 수가 더 큼; 절댓값이 같고 부호가 다른 두 수; 정수와 유리수의 대소 관계
9수01-05,수와 연산,22,10,10,2,m1_mis_sign_operation; m1_num_addition; m1_num_associative_law; m1_num_commutative_law; m1_num_different_sign_addition; m1_num_distributive_law; m1_num_division; m1_num_division_as_multiply_reciprocal; m1_num_domain; m1_num_four_operations; m1_num_integer_rational_add_sub; m1_num_integer_rational_mul_div; m1_num_integer_rational_unit; m1_num_mixed_calculation; m1_num_mul_div_sign_rule; m1_num_multiplication; m1_num_operation_laws; m1_num_operation_order_mixed; m1_num_reciprocal; m1_num_same_sign_addition; m1_num_subtraction; m1_num_subtraction_as_add_opposite,부호와 연산 기호를 혼동하는 오류; 덧셈; 결합법칙; 교환법칙; 부호가 다른 수의 덧셈; 분배법칙; 나눗셈; 나눗셈을 역수의 곱셈으로 바꾸기; 수와 연산; 정수와 유리수의 사칙계산; 정수와 유리수의 덧셈과 뺄셈; 정수와 유리수의 곱셈과 나눗셈; 정수와 유리수; 정수와 유리수의 혼합계산; 곱셈과 나눗셈의 부호 결정; 곱셈; 연산 법칙; 혼합계산의 계산 순서; 역수; 부호가 같은 수의 덧셈; 뺄셈; 뺄셈을 반대 부호의 덧셈으로 바꾸기
9수01-06,수와 연산,14,10,2,2,m1_mis_finite_to_repeating_scope; m1_mis_irrational_decimal; m1_num_domain; m1_num_finite_decimal; m1_num_fraction_decimal_classification; m1_num_infinite_decimal; m1_num_rational_fraction_form; m1_num_rational_number; m1_num_rational_repeating_relation; m1_num_repeating_decimal; m1_num_repeating_decimal_notation; m1_num_repeating_decimal_to_fraction; m1_num_repeating_decimal_unit; m1_num_repetend,유한소수를 순환소수로 나타내는 활동을 범위로 오인하는 오류; 무한소수와 무리수를 같은 말로 보는 오류; 수와 연산; 유한소수; 분수가 유한소수 또는 순환소수로 나타나는지 구분하기; 무한소수; 유리수의 분수 꼴 표현; 유리수; 유리수와 순환소수의 관계; 순환소수; 순환소수 표현; 순환소수를 분수로 나타내기; 유리수와 순환소수; 순환마디
9수01-07,수와 연산,7,6,0,1,m1_mis_radical_principal_root; m1_num_compare_square_roots; m1_num_domain; m1_num_radical_sign; m1_num_square_root; m1_num_square_root_property; m1_num_square_root_real_unit,근호가 나타내는 제곱근의 부호를 혼동하는 오류; 제곱근의 대소 관계; 수와 연산; 근호; 제곱근; 제곱근의 성질; 제곱근과 실수
9수01-08,수와 연산,8,5,2,1,m1_mis_irrational_decimal; m1_num_domain; m1_num_irrational_number; m1_num_rational_irrational_classification; m1_num_real_number; m1_num_square_root_calculator; m1_num_square_root_real_unit; m1_num_unit_square_diagonal,무한소수와 무리수를 같은 말로 보는 오류; 수와 연산; 무리수; 유리수와 무리수의 구분; 실수; 계산기로 제곱근 값 구하기; 제곱근과 실수; 한 변의 길이가 1인 정사각형의 대각선
9수01-09,수와 연산,4,4,0,0,m1_num_domain; m1_num_real_number; m1_num_real_order; m1_num_square_root_real_unit,수와 연산; 실수; 실수의 대소 관계; 제곱근과 실수
9수01-10,수와 연산,6,4,1,1,m1_mis_radical_like_terms; m1_num_domain; m1_num_radical_expression; m1_num_radical_operations; m1_num_rationalize_denominator; m1_num_square_root_real_unit,근호 안의 수가 다른 제곱근을 동류항처럼 더하는 오류; 수와 연산; 근호를 포함한 식; 근호를 포함한 식의 사칙계산; 분모의 유리화; 제곱근과 실수
9수02-01,변화와 관계,13,10,2,1,m1_expr_evaluate_expression_value; m1_expr_letter; m1_expr_letter_quantity; m1_expr_literal_expression; m1_expr_quantity_relationship; m1_expr_situation_to_literal_expression; m1_expr_substitution; m1_expr_unit; m1_expr_usefulness; m1_expr_value; m1_mis_letter_as_label_only; m1_repr_expression; m1_term_variable,식의 값 구하기; 문자; 문자가 나타내는 수량 정하기; 문자를 사용한 식; 상황 속 수량 관계; 상황을 문자를 사용한 식으로 나타내기; 대입; 문자의 사용과 식; 문자를 사용한 식의 유용성; 식의 값; 문자를 이름표로만 해석하는 오류; 식; 변수
9수02-02,변화와 관계,8,4,2,2,m1_expr_add_sub_linear_expression; m1_expr_explain_linear_expression_calculation; m1_expr_like_terms; m1_expr_linear_expression; m1_expr_linear_expression_add_sub_principle; m1_expr_unit; m1_mis_coefficient_constant_degree; m1_mis_like_terms,일차식의 덧셈과 뺄셈; 일차식 계산 과정 설명하기; 동류항; 일차식; 일차식의 덧셈과 뺄셈 원리; 문자의 사용과 식; 계수·상수항·차수 혼동; 동류항이 아닌 항을 합치는 오류
9수02-03,변화와 관계,11,9,1,1,m1_eq_equality; m1_eq_equality_properties; m1_eq_equation; m1_eq_identity; m1_eq_root; m1_eq_solution; m1_eq_solution_check; m1_eq_unit; m1_eq_unknown; m1_expr_polynomial; m1_mis_expression_equation,등식; 등식의 성질; 방정식; 항등식; 근; 해; 해의 확인; 일차방정식; 미지수; 다항식; 식과 방정식 혼동
9수02-04,변화와 관계,7,5,0,2,m1_eq_linear_equation; m1_eq_modeling_linear_equation; m1_eq_solution_check; m1_eq_solving_linear_equation; m1_eq_unit; m1_mis_solution_check; m1_mis_transposition_sign,일차방정식; 일차방정식 세우기; 해의 확인; 일차방정식 풀기; 일차방정식; 구한 해의 상황 적합성 확인 누락; 이항할 때 부호를 잘못 바꾸는 오류
9수02-05,변화와 관계,15,9,0,6,m1_coord_axis_point; m1_coord_coordinate; m1_coord_coordinate_plane; m1_coord_graph_unit; m1_coord_number_line; m1_coord_ordered_pair; m1_coord_point_location; m1_coord_quadrant_signs; m1_coord_usefulness; m1_coord_x_axis_point; m1_coord_x_coordinate; m1_coord_y_axis_point; m1_coord_y_coordinate; m1_mis_axis_quadrant; m1_mis_order_swap,축 위의 점; 좌표; 좌표평면; 좌표평면과 그래프; 수직선; 순서쌍; 점의 위치; 사분면별 좌표 부호; 좌표 표현의 편리함; x축 위의 점; x좌표; y축 위의 점; y좌표; 축 위의 점을 사분면에 포함하는 오류; 순서쌍의 순서 혼동
9수02-06,변화와 관계,6,5,0,1,m1_coord_graph_unit; m1_graph_change_state; m1_graph_graph; m1_graph_graph_interpretation; m1_graph_situation_graphing; m1_mis_graph_picture,좌표평면과 그래프; 변화 상태; 그래프; 그래프 해석; 상황을 그래프로 나타내기; 그래프를 상황 그림으로만 보는 오류
9수02-07,변화와 관계,12,6,3,3,m1_context_speed_distance; m1_context_speed_time; m1_coord_graph_unit; m1_mis_direct_inverse_generalization; m1_mis_representation_conversion; m1_num_ratio; m1_prop_direct_proportion; m1_prop_inverse_proportion; m1_prop_proportion_relation; m1_repr_conversion; m1_repr_expression; m1_repr_table,속력과 거리 맥락; 속력과 시간 맥락; 좌표평면과 그래프; 증가·감소만으로 정비례·반비례 판단; 표·식·그래프 변환 오류; 비; 정비례; 반비례; 정비례·반비례 관계 판단; 표·식·그래프 상호 변환; 식; 표
9수02-08,변화와 관계,8,7,0,1,m1_calc_base; m1_calc_exponent; m1_calc_exponent_laws; m1_calc_monomial_mul_div; m1_calc_power; m1_calc_simplify_expression; m1_calc_unit; m1_mis_exponent_base,밑; 지수; 지수법칙; 단항식의 곱셈과 나눗셈; 거듭제곱; 식을 간단히 하기; 식의 계산; 밑이 다른 거듭제곱에 지수법칙을 잘못 적용하는 오류
9수02-09,변화와 관계,3,2,0,1,m1_calc_polynomial_add_sub; m1_calc_unit; m1_mis_polynomial_like_terms,다항식의 덧셈과 뺄셈; 식의 계산; 다항식에서 동류항 처리를 누락하는 오류
9수02-10,변화와 관계,4,2,2,0,m1_calc_expansion; m1_calc_monomial_polynomial_mul_div; m1_calc_unit; m1_mis_polynomial_division_scope,전개; 단항식과 다항식의 곱셈과 나눗셈; 식의 계산; 다항식을 단항식으로 나누는 범위 혼동
9수02-11,변화와 관계,8,6,0,2,m1_ineq_compare_equality_properties; m1_ineq_inequality; m1_ineq_properties; m1_ineq_solution; m1_ineq_solution_check; m1_ineq_unit; m1_mis_ineq_negative; m1_mis_ineq_solution_single_value,등식의 성질과 부등식의 성질 비교; 부등식; 부등식의 성질; 부등식의 해; 부등식 해의 확인; 일차부등식; 음수를 곱하거나 나눌 때 부등호 방향을 바꾸지 않는 오류; 부등식의 해를 한 값으로만 이해하는 오류
9수02-12,변화와 관계,5,5,0,0,m1_ineq_linear_inequality; m1_ineq_modeling_linear_inequality; m1_ineq_solution_check; m1_ineq_solving_linear_inequality; m1_ineq_unit,일차부등식; 일차부등식 세우기; 부등식 해의 확인; 일차부등식 풀기; 일차부등식
9수02-13,변화와 관계,13,10,0,3,m1_mis_system_elimination_sign; m1_mis_system_one_equation_only; m1_mis_system_substitution; m1_system_addition_subtraction_method; m1_system_elimination; m1_system_modeling; m1_system_simultaneous_equations; m1_system_simultaneous_linear_equations; m1_system_solution; m1_system_solving; m1_system_substitution_method; m1_system_two_variable_linear_equation; m1_system_unit,가감법에서 부호와 계수 처리를 잘못하는 오류; 연립방정식의 해를 한 방정식만 만족해도 된다고 보는 오류; 대입법에서 식 전체를 대입하지 않는 오류; 가감법; 소거; 연립일차방정식 세우기; 연립방정식; 연립일차방정식; 연립일차방정식의 해; 연립일차방정식 풀기; 대입법; 미지수가 2개인 일차방정식; 연립일차방정식
9수02-14,변화와 관계,12,7,0,5,m1_func_correspondence; m1_func_function; m1_func_function_judgement; m1_func_input_value; m1_func_two_quantity_relation; m1_func_unique_correspondence; m1_func_unit; m1_func_value; m1_mis_all_relations_are_functions; m1_mis_function_linear_function; m1_mis_function_value_input_output; m1_mis_multiple_outputs_same_input,대응 관계; 함수; 함수인지 판단하기; 입력값; 두 양 사이의 관계; 하나씩 정해지는 대응; 일차함수와 그 그래프; 함숫값; 모든 두 양의 관계를 함수로 보는 오류; 함수와 일차함수 혼동; 함숫값과 입력값 혼동; 하나의 입력에 여러 출력이 대응하는 경우를 함수로 보는 오류
9수02-15,변화와 관계,15,9,3,3,m1_func_graph_drawing; m1_func_linear_formula; m1_func_linear_function; m1_func_linear_graph; m1_func_parallel_translation; m1_func_slope; m1_func_tech_tool_graph; m1_func_unit; m1_func_x_intercept; m1_func_y_ax_b_graph; m1_func_y_ax_graph; m1_func_y_intercept; m1_mis_function_linear_function; m1_mis_slope_intercept; m1_mis_x_y_intercept,일차함수 그래프 그리기; 일차함수의 식; 일차함수; 일차함수의 그래프; 평행이동; 기울기; 공학 도구로 함수 그래프 탐구하기; 일차함수와 그 그래프; x절편; 일차함수 y=ax+b의 그래프; 일차함수 y=ax의 그래프; y절편; 함수와 일차함수 혼동; 기울기와 절편 혼동; x절편과 y절편 혼동
9수02-16,변화와 관계,11,7,0,4,m1_func_find_graph_equation; m1_func_graph_properties; m1_func_problem_solving; m1_func_slope; m1_func_slope_ratio_formula; m1_func_slope_sign; m1_func_unit; m1_func_x_increment; m1_func_y_increment; m1_func_y_intercept; m1_mis_slope_sign,일차함수 그래프의 식 구하기; 일차함수의 그래프의 성질; 일차함수 활용 문제 해결; 기울기; 기울기 계산식; 기울기의 부호; 일차함수와 그 그래프; x의 증가량; y의 증가량; y절편; 기울기 부호와 그래프 방향 혼동
9수02-17,변화와 관계,3,3,0,0,m1_func_eq_relation_unit; m1_func_equation_relation; m1_func_two_variable_equation_as_graph,일차함수와 일차방정식의 관계; 일차함수와 미지수가 2개인 일차방정식의 관계; 미지수가 2개인 일차방정식의 해를 그래프로 나타내기
9수02-18,변화와 관계,7,4,2,1,m1_func_eq_relation_unit; m1_func_intersection_count; m1_func_intersection_point; m1_func_system_graph_relation; m1_func_system_solution_from_intersection; m1_func_two_linear_graphs; m1_mis_intersection_solution,일차함수와 일차방정식의 관계; 교점의 개수; 교점; 두 일차함수의 그래프와 연립일차방정식의 관계; 교점으로 연립일차방정식의 해 말하기; 두 일차함수의 그래프; 그래프의 교점과 연립방정식의 해를 분리해서 보는 오류
9수02-19,변화와 관계,20,12,3,5,m1_factor_binomial_product_xab; m1_factor_common_factor; m1_factor_expansion_factorization_inverse; m1_factor_factor; m1_factor_factorization; m1_factor_formula_scope; m1_factor_linear_product_axb_cxd; m1_factor_perfect_square_expression; m1_factor_polynomial_multiplication; m1_factor_quadratic_expression; m1_factor_square_difference_formula; m1_factor_square_sum_formula; m1_factor_sum_difference_product_formula; m1_factor_unit; m1_mis_expansion_factorization_direction; m1_mis_factor_common_factor_missing; m1_mis_factor_formula_pattern; m1_mis_perfect_square_sign; m1_mis_quadratic_factorization_solution; m1_quad_eq_factorization_solving,(x+a)(x+b) 공식; 공통인수; 전개와 인수분해의 역관계; 인수; 인수분해; 다항식의 곱셈과 인수분해 공식 범위; (ax+b)(cx+d) 공식; 완전제곱식; 다항식의 곱셈; 이차식; (a-b)^2 공식; (a+b)^2 공식; (a+b)(a-b) 공식; 다항식의 곱셈과 인수분해; 전개와 인수분해 방향을 혼동하는 오류; 공통인수를 빠뜨리는 오류; 곱셈·인수분해 공식을 기계적으로 끼워 맞추는 오류; 완전제곱식의 가운데 항 부호를 혼동하는 오류; 인수분해한 식에서 해 조건을 빠뜨리는 오류; 인수분해를 이용한 이차방정식 풀이
9수02-20,변화와 관계,13,6,4,3,m1_mis_quadratic_expression_equation; m1_mis_quadratic_factorization_solution; m1_mis_quadratic_function_equation; m1_quad_eq_double_root; m1_quad_eq_factorization_solving; m1_quad_eq_modeling; m1_quad_eq_quadratic_equation; m1_quad_eq_quadratic_term; m1_quad_eq_root_formula; m1_quad_eq_solution; m1_quad_eq_solving; m1_quad_eq_standard_form; m1_quad_eq_unit,이차식과 이차방정식을 혼동하는 오류; 인수분해한 식에서 해 조건을 빠뜨리는 오류; 이차함수와 이차방정식을 혼동하는 오류; 중근; 인수분해를 이용한 이차방정식 풀이; 이차방정식 활용 문제 해결; 이차방정식; 이차항; 근의 공식; 이차방정식의 해; 이차방정식 풀기; 이차방정식의 식 표현; 이차방정식
9수02-21,변화와 관계,6,5,0,1,m1_mis_quadratic_function_equation; m1_quad_func_formula; m1_quad_func_identifying_quadratic_function; m1_quad_func_quadratic_function; m1_quad_func_situation_to_formula; m1_quad_func_unit,이차함수와 이차방정식을 혼동하는 오류; 이차함수의 식; 이차함수 판별하기; 이차함수; 상황을 이차함수 식으로 나타내기; 이차함수와 그 그래프
9수02-22,변화와 관계,24,11,12,1,m1_mis_axis_vertex; m1_quad_func_axis; m1_quad_func_axis_equation; m1_quad_func_formula; m1_quad_func_general_form; m1_quad_func_graph; m1_quad_func_graph_drawing; m1_quad_func_graph_properties; m1_quad_func_maximum; m1_quad_func_minimum; m1_quad_func_opening_direction; m1_quad_func_parabola; m1_quad_func_shifted_square_form; m1_quad_func_tech_tool_graph; m1_quad_func_unit; m1_quad_func_value_table; m1_quad_func_vertex; m1_quad_func_vertex_coordinates; m1_quad_func_vertex_form; m1_quad_func_vertex_form_graph_reading; m1_quad_func_vertical_shift_form; m1_quad_func_y_ax2_form; m1_quad_func_y_ax2_graph; m1_quad_func_y_fx,포물선의 축과 꼭짓점을 혼동하는 오류; 축; 축의 방정식; 이차함수의 식; y=ax^2+bx+c 꼴; 이차함수의 그래프; 이차함수 그래프 그리기; 이차함수 그래프의 성질; 최댓값; 최솟값; 위로 열린 그래프와 아래로 열린 그래프; 포물선; y=a(x-p)^2 꼴; 공학 도구로 이차함수 그래프 탐구하기; 이차함수와 그 그래프; 이차함수의 값의 표; 꼭짓점; 꼭짓점 좌표; y=a(x-p)^2+q 꼴; 꼭짓점형에서 그래프 성질 읽기; y=ax^2+q 꼴; y=ax^2 꼴; y=ax^2 그래프; y=f(x)
9수03-01,도형과 측정,18,17,0,1,m1_geo_angle; m1_geo_basic_unit; m1_geo_distance_between_two_points; m1_geo_domain; m1_geo_foot_of_perpendicular; m1_geo_intersection_line; m1_geo_intersection_point; m1_geo_line; m1_geo_midpoint; m1_geo_perpendicular; m1_geo_perpendicular_bisector; m1_geo_plane; m1_geo_point; m1_geo_position_relation; m1_geo_skew_lines; m1_geo_straight_angle; m1_geo_vertical_angles; m1_mis_skew_parallel_lines,"각; 기본 도형; 두 점 사이의 거리; 도형과 측정; 수선의 발; 교선; 교점; 직선; 중점; 직교; 수직이등분선; 평면; 점; 점, 직선, 평면의 위치 관계; 꼬인 위치; 평각; 맞꼭지각; 꼬인 위치와 평행을 같은 관계로 보는 오류"
9수03-02,도형과 측정,7,6,0,1,m1_geo_alternate_interior_angles; m1_geo_basic_unit; m1_geo_corresponding_angles; m1_geo_domain; m1_geo_parallel_angle_properties; m1_geo_parallel_lines; m1_mis_corresponding_alternate_angles,엇각; 기본 도형; 동위각; 도형과 측정; 평행선에서 동위각과 엇각의 성질; 평행선; 동위각과 엇각의 위치를 혼동하는 오류
9수03-03,도형과 측정,5,4,1,0,m1_geo_construction; m1_geo_construction_congruence_unit; m1_geo_domain; m1_geo_triangle; m1_geo_triangle_construction,작도; 작도와 합동; 도형과 측정; 삼각형; 삼각형의 작도
9수03-04,도형과 측정,9,7,1,1,m1_geo_congruence; m1_geo_construction_congruence_unit; m1_geo_domain; m1_geo_opposite_angle; m1_geo_opposite_side; m1_geo_triangle; m1_geo_triangle_congruence_conditions; m1_geo_triangle_congruence_judgement; m1_mis_congruence_similarity,합동; 작도와 합동; 도형과 측정; 대각; 대변; 삼각형; 삼각형의 합동 조건; 삼각형의 합동 판별; 합동과 닮음을 같은 관계로 보는 오류
