id,label_ko,aliases,grade,domain,unit,concept_type,short_definition,source_refs,prerequisite_ids,parent_ids,related_ids,notes,confidence
hs1_poly_ops,다항식의 사칙연산,,고1,공통수학1,다항식,procedure,다항식의 사칙연산의 원리를 설명하고 계산하는 활동.,curriculum_math_2022:printed p. 60; [10공수1-01-01] - 다항식의 사칙연산의 원리를 설명하고 계산할 수 있다는 진술,,,hs1_synthetic_div,중학교에서 학습한 내용을 토대로 고등학교에서 추가된 내용을 이해하게 한다(printed p. 60).,high
hs1_identity,항등식의 성질,,고1,공통수학1,다항식,property,항등식이 가지는 성질.,curriculum_math_2022:printed p. 60; [10공수1-01-02] - 항등식의 성질과 나머지정리를 이해하고 활용한다는 진술,,,hs1_remainder_thm,항등식의 성질을 활용하는 복잡한 문제는 다루지 않는다(printed p. 60).,high
hs1_undetermined,미정계수법,,고1,공통수학1,다항식,term,항등식의 성질을 이용해 미지의 계수를 정하는 방법을 가리키는 공식 용어.,curriculum_math_2022:printed p. 60 용어와 기호 - 용어 목록의 미정계수법,,,,,high
hs1_remainder_thm,나머지정리,,고1,공통수학1,다항식,core_concept,다항식을 일차식으로 나눈 나머지에 관한 정리.,curriculum_math_2022:printed p. 60 용어와 기호 - 용어 목록의 나머지정리; curriculum_math_2022:printed p. 60; [10공수1-01-02] - 나머지정리를 이해하고 활용하여 문제를 해결한다는 진술,,,hs1_identity; hs1_factor_thm,,high
hs1_factor_thm,인수정리,,고1,공통수학1,다항식,term,다항식의 인수와 나머지의 관계를 나타내는 정리를 가리키는 공식 용어.,curriculum_math_2022:printed p. 60 용어와 기호 - 용어 목록의 인수정리,,,hs1_remainder_thm,,high
hs1_synthetic_div,조립제법,,고1,공통수학1,다항식,term,다항식을 일차식으로 나누는 계산을 간단히 하는 방법.,curriculum_math_2022:printed p. 60 용어와 기호 - 용어 목록의 조립제법; curriculum_math_2022:printed p. 60 적용 시 고려 사항 - 중학교에서 학습한 다항식을 단항식으로 나누는 연산과 연계하여 이해하게 하고 간단히 다룬다,,,hs1_poly_ops,,high
hs1_factorization,다항식의 인수분해,,고1,공통수학1,다항식,procedure,다항식을 인수분해하는 활동.,curriculum_math_2022:printed p. 60; [10공수1-01-03] - 다항식의 인수분해를 할 수 있다는 진술; curriculum_math_2022:printed p. 60 성취기준 해설 - 인수분해로 다루는 경우가 해설에 제시된다,hs1_poly_ops,,,해설의 인수분해 공식 목록은 수식 글꼴 문제로 텍스트 추출이 되지 않았다. 복잡한 인수분해 문제는 다루지 않는다(printed p. 60). 용어·기호 목록의 수학 기호 일부는 한글 수식 글꼴(HyhwpEQ) 문제로 텍스트 추출이 되지 않아 원문 시각 확인 또는 교과서 확인 전까지 concept으로 추가하지 않는다.,high
hs1_imaginary_unit,허수단위,,고1,공통수학1,방정식과 부등식,term,복소수 도입에 쓰는 허수단위를 가리키는 공식 용어.,curriculum_math_2022:printed p. 61 용어와 기호 - 용어 목록의 허수단위,,,,,high
hs1_complex,복소수,실수부분; 허수부분; 허수,고1,공통수학1,방정식과 부등식,core_concept,실수부분과 허수부분으로 이루어진 수.,"curriculum_math_2022:printed p. 61 용어와 기호 - 용어 목록의 복소수, 실수부분, 허수부분, 허수; curriculum_math_2022:printed p. 61; [10공수1-02-01] - 복소수의 뜻과 성질을 설명한다는 진술",,,,,high
hs1_conjugate,켤레복소수,,고1,공통수학1,방정식과 부등식,term,허수부분의 부호를 바꾼 복소수.,curriculum_math_2022:printed p. 61 용어와 기호 - 용어 목록의 켤레복소수; curriculum_math_2022:printed p. 61 적용 시 고려 사항 - 복소수의 나눗셈은 켤레복소수를 이용하여 계산하게 한다,,,,,high
hs1_complex_ops,복소수의 사칙연산,,고1,공통수학1,방정식과 부등식,procedure,복소수의 사칙연산을 수행하는 활동.,curriculum_math_2022:printed p. 61; [10공수1-02-01] - 복소수의 사칙연산을 수행할 수 있다는 진술; curriculum_math_2022:printed p. 61 적용 시 고려 사항 - 중학교에서 학습한 실수의 성질과 사칙연산과 연계하여 이해하게 한다,,,,,high
hs1_real_imag_roots,이차방정식의 실근과 허근,실근; 허근,고1,공통수학1,방정식과 부등식,sub_concept,이차방정식이 가지는 실근과 허근.,"curriculum_math_2022:printed p. 61 용어와 기호 - 용어 목록의 실근, 허근; curriculum_math_2022:printed p. 61; [10공수1-02-02] - 이차방정식의 실근과 허근을 이해한다는 진술; curriculum_math_2022:printed p. 61 성취기준 해설 - 계수가 실수인 이차방정식은 복소수 범위에서 항상 근을 가짐을 이해하게 한다",hs1_complex,,hs1_root_coeff,,high
hs1_discriminant,판별식,,고1,공통수학1,방정식과 부등식,core_concept,이차방정식의 근을 판별하는 식.,curriculum_math_2022:printed p. 61 용어와 기호 - 용어 목록의 판별식; curriculum_math_2022:printed p. 61; [10공수1-02-02] - 판별식을 이용하여 이차방정식의 근을 판별한다는 진술,,,,판별식을 활용하는 지나치게 복잡한 문제는 다루지 않는다(printed p. 61).,high
hs1_root_coeff,이차방정식의 근과 계수의 관계,,고1,공통수학1,방정식과 부등식,property,이차방정식의 근과 계수 사이의 관계.,curriculum_math_2022:printed p. 61; [10공수1-02-03] - 근과 계수의 관계를 설명할 수 있다는 진술,,,hs1_real_imag_roots,,high
hs1_quad_eq_func,이차방정식과 이차함수의 관계,,고1,공통수학1,방정식과 부등식,property,이차방정식과 이차함수를 연결하여 설명하는 관계.,curriculum_math_2022:printed p. 61; [10공수1-02-04] - 이차방정식과 이차함수를 연결하여 그 관계를 설명한다는 진술,,,hs2_circle_line,,high
hs1_graph_line,이차함수의 그래프와 직선의 위치 관계,,고1,공통수학1,방정식과 부등식,procedure,이차함수의 그래프와 직선의 위치 관계를 판단하는 활동.,curriculum_math_2022:printed p. 61; [10공수1-02-05] - 이차함수의 그래프와 직선의 위치 관계를 판단할 수 있다는 진술,hs1_quad_eq_func,,hs1_quad_maxmin,탐구할 때 공학 도구를 이용할 수 있다(printed p. 62).,high
hs1_quad_maxmin,이차함수의 최대와 최소,,고1,공통수학1,방정식과 부등식,procedure,"이차함수의 최대, 최소를 탐구하고 실생활과 연결하는 활동.","curriculum_math_2022:printed p. 61; [10공수1-02-06] - 이차함수의 최대, 최소를 탐구하고 실생활과 연결한다는 진술; curriculum_math_2022:printed p. 61 성취기준 해설 - 이차함수의 최대, 최소는 제한된 범위에서만 다룬다",,,hs1_graph_line,,high
hs1_cubic_quartic,삼차방정식과 사차방정식 풀기,,고1,공통수학1,방정식과 부등식,procedure,간단한 삼차방정식과 사차방정식을 푸는 활동.,"curriculum_math_2022:printed p. 61; [10공수1-02-07] - 간단한 삼차방정식과 사차방정식을 풀 수 있다는 진술; curriculum_math_2022:printed p. 61 성취기준 해설 - 계수가 실수이고 인수분해 공식이나 인수정리, 조립제법으로 풀 수 있는 경우만 다룬다",,,,,high
hs1_system_quad,연립이차방정식 풀기,,고1,공통수학1,방정식과 부등식,procedure,미지수가 2개인 연립이차방정식을 푸는 활동.,curriculum_math_2022:printed p. 61; [10공수1-02-08] - 미지수가 2개인 연립이차방정식을 풀 수 있다는 진술; curriculum_math_2022:printed p. 61 성취기준 해설 - 일차식과 이차식이 한 개씩이거나 한 이차식이 간단히 인수분해 되는 경우만 다룬다,,,,,high
hs1_system_ineq,연립일차부등식 풀기,,고1,공통수학1,방정식과 부등식,procedure,미지수가 1개인 연립일차부등식을 푸는 활동.,curriculum_math_2022:printed p. 61 용어와 기호 - 용어 목록의 연립부등식; curriculum_math_2022:printed p. 61; [10공수1-02-09] - 미지수가 1개인 연립일차부등식을 풀 수 있다는 진술; curriculum_math_2022:printed p. 62 적용 시 고려 사항 - 연립부등식은 중학교에서 학습한 연립일차방정식 내용을 토대로 이해하게 한다,,,,,high
hs1_abs_ineq,절댓값을 포함한 일차부등식 풀기,,고1,공통수학1,방정식과 부등식,procedure,절댓값을 포함한 일차부등식을 푸는 활동.,curriculum_math_2022:printed p. 61; [10공수1-02-10] - 절댓값을 포함한 일차부등식을 풀 수 있다는 진술,,,,,high
hs1_quad_ineq,이차부등식과 연립이차부등식 풀기,,고1,공통수학1,방정식과 부등식,procedure,이차부등식과 이차함수의 관계를 설명하고 이차부등식과 연립이차부등식을 푸는 활동.,curriculum_math_2022:printed p. 61; [10공수1-02-11] - 이차부등식과 이차함수를 연결하여 설명하고 풀 수 있다는 진술,hs1_system_ineq,,,이차함수의 그래프를 이용해 해를 탐구할 때 공학 도구를 이용할 수 있다(printed p. 62).,high
hs1_addition_rule,합의 법칙,,고1,공통수학1,경우의 수,core_concept,두 사건의 경우의 수를 더하여 세는 법칙.,curriculum_math_2022:printed p. 62 용어와 기호 - 용어 목록의 합의 법칙; curriculum_math_2022:printed p. 62; [10공수1-03-01] - 합의 법칙과 곱의 법칙을 이해한다는 진술,,,hs1_mult_rule,중학교에서 학습한 경우의 수와 연계하여 간단히 다룬다(printed p. 62).,high
hs1_mult_rule,곱의 법칙,,고1,공통수학1,경우의 수,core_concept,잇달아 일어나는 사건의 경우의 수를 곱하여 세는 법칙.,curriculum_math_2022:printed p. 62 용어와 기호 - 용어 목록의 곱의 법칙; curriculum_math_2022:printed p. 62; [10공수1-03-01] - 합의 법칙과 곱의 법칙을 이해한다는 진술,,,hs1_addition_rule,두 법칙이 적용되는 상황의 차이점을 설명하게 할 수 있다(printed p. 62).,high
hs1_counting,경우의 수 문제해결,,고1,공통수학1,경우의 수,procedure,합의 법칙과 곱의 법칙 중 적절한 전략을 사용하여 경우의 수 문제를 해결하는 활동.,curriculum_math_2022:printed p. 62; [10공수1-03-01] - 적절한 전략을 사용하여 경우의 수 문제를 해결한다는 진술,,,,지나치게 복잡한 문제는 다루지 않는다(printed p. 62).,high
hs1_permutation,순열,,고1,공통수학1,경우의 수,core_concept,서로 다른 것에서 순서를 생각하여 택하는 배열.,curriculum_math_2022:printed p. 62 용어와 기호 - 용어 목록의 순열; curriculum_math_2022:printed p. 62; [10공수1-03-02] - 순열의 개념을 이해한다는 진술,hs1_mult_rule,,hs1_combination,,high
hs1_factorial,계승,,고1,공통수학1,경우의 수,term,1부터 어떤 자연수까지의 곱을 가리키는 공식 용어.,curriculum_math_2022:printed p. 62 용어와 기호 - 용어 목록의 계승,,,,,high
hs1_permutation_count,순열의 수 구하기,,고1,공통수학1,경우의 수,procedure,순열의 수를 구하는 방법을 설명하는 활동.,curriculum_math_2022:printed p. 62; [10공수1-03-02] - 순열의 수를 구하는 방법을 설명할 수 있다는 진술; curriculum_math_2022:printed p. 62 적용 시 고려 사항 - 직접 나열하거나 수형도를 이용하는 등 다양한 방법으로 구하게 한다,,,,,high
hs1_combination,조합,,고1,공통수학1,경우의 수,core_concept,서로 다른 것에서 순서를 생각하지 않고 택하는 것.,curriculum_math_2022:printed p. 62 용어와 기호 - 용어 목록의 조합; curriculum_math_2022:printed p. 62; [10공수1-03-03] - 조합의 개념을 이해한다는 진술,,,hs1_permutation,,high
