candidate_label,integration_status,proposed_concept_id,review_status,evidence_signal,candidate_mention_count,legacy_units,target_source_ref_count,matching_target_source_refs,recommended_action,notes
곱셈,stage_prerequisite_node,prereq_multiplication,needs_official_prerequisite_confirmation,target_source_refs_mention_candidate,16,9수02-10; 9수02-18; 9수02-19,22,"m1_calc_monomial_mul_div: curriculum_math_2022 @ printed pp. 35-36; achievement-standard explanation and considerations -> 지수법칙은 자연수 지수 범위에서 단항식의 곱셈과 나눗셈에 필요한 정도로 다루고, 수의 사칙연산과 소인수분해가 다항식으로 확장될 수 있음을 인식하게 함 || m1_calc_monomial_mul_div: achievement_math_2022 @ 식의 계산 section; [9수02-08] achievement levels -> 지수법칙을 이용하여 거듭제곱이나 단항식의 곱셈과 나눗셈을 하는 수준을 구분 || m1_calc_monomial_polynomial_mul_div: curriculum_math_2022 @ printed p. 35; [9수02-10] -> 단항식과 다항식의 곱셈, 다항식을 단항식으로 나누는 계산을 다루는 성취기준 || m1_calc_monomial_polynomial_mul_div: curriculum_math_2022 @ printed pp. 35-36; achievement-standard explanation and considerations -> 지수법칙은 자연수 지수 범위에서 단항식의 곱셈과 나눗셈에 필요한 정도로 다루고, 수의 사칙연산과 소인수분해가 다항식으로 확장될 수 있음을 인식하게 함 || m1_calc_monomial_polynomial_mul_div: achievement_math_2022 @ 식의 계산 section; [9수02-10] achievement levels -> 단항식과 다항식의 곱셈, 다항식과 단항식의 나눗셈 원리 이해와 계산 수행 수준을 구분 || m1_factor_formula_scope: curriculum_math_2022 @ printed p. 36; [9수02-19] explanation -> 다항식의 곱셈과 인수분해의 역관계를 이해하고, m(a+b), (a±b)^2, (a+b)(a-b), (x+a)(x+b), (ax+b)(cx+d) 범위의 공식을 다룸 || m1_factor_polynomial_multiplication: curriculum_math_2022 @ printed p. 35; [9수02-19] -> 다항식의 곱셈과 인수분해를 하는 성취기준 || m1_factor_polynomial_multiplication: curriculum_math_2022 @ printed p. 36; [9수02-19] explanation -> 다항식의 곱셈과 인수분해의 역관계를 이해하고, m(a+b), (a±b)^2, (a+b)(a-b), (x+a)(x+b), (ax+b)(cx+d) 범위의 공식을 다룸 || m1_factor_polynomial_multiplication: achievement_math_2022 @ 다항식의 곱셈과 인수분해 section; [9수02-19] achievement levels -> 다항식의 곱셈과 인수분해의 역관계 이해, 두 다항식의 곱 전개, 이차식 인수분해, 간단한 절차 수행 수준을 구분 || m1_factor_unit: curriculum_math_2022 @ printed p. 35; [9수02-19] -> 다항식의 곱셈과 인수분해를 하는 성취기준 || m1_factor_unit: curriculum_math_2022 @ printed p. 36; [9수02-19] explanation -> 다항식의 곱셈과 인수분해의 역관계를 이해하고, m(a+b), (a±b)^2, (a+b)(a-b), (x+a)(x+b), (ax+b)(cx+d) 범위의 공식을 다룸 || m1_factor_unit: achievement_math_2022 @ 다항식의 곱셈과 인수분해 section; [9수02-19] achievement levels -> 다항식의 곱셈과 인수분해의 역관계 이해, 두 다항식의 곱 전개, 이차식 인수분해, 간단한 절차 수행 수준을 구분 || m1_mis_factor_formula_pattern: curriculum_math_2022 @ printed p. 36; [9수02-19] explanation -> 다항식의 곱셈과 인수분해의 역관계를 이해하고, m(a+b), (a±b)^2, (a+b)(a-b), (x+a)(x+b), (ax+b)(cx+d) 범위의 공식을 다룸 || m1_mis_factor_formula_pattern: achievement_math_2022 @ 다항식의 곱셈과 인수분해 section; [9수02-19] achievement levels -> 다항식의 곱셈과 인수분해의 역관계 이해, 두 다항식의 곱 전개, 이차식 인수분해, 간단한 절차 수행 수준을 구분 || m1_num_four_operations: achievement_math_2022 @ 정수와 유리수 section; [9수01-05] achievement levels -> 정수와 유리수의 사칙계산 원리 이해, 덧셈·뺄셈·곱셈·나눗셈, 혼합계산 수준을 구분 || m1_num_integer_rational_mul_div: achievement_math_2022 @ 정수와 유리수 section; [9수01-05] achievement levels -> 정수와 유리수의 사칙계산 원리 이해, 덧셈·뺄셈·곱셈·나눗셈, 혼합계산 수준을 구분",Review matching source refs before creating prereq_multiplication or prerequisite edges.,Candidate label appears in existing target source refs; still confirm before updating concepts.json.
길이,stage_prerequisite_node,prereq_length,needs_official_prerequisite_confirmation,target_source_refs_mention_candidate,6,9수03-06; 9수03-14,10,"m1_geo_parallel_segment_ratio: curriculum_math_2022 @ printed p. 38; [9수03-14] -> 평행선 사이의 선분의 길이의 비를 구하는 성취기준 || m1_geo_parallel_segment_ratio: achievement_math_2022 @ 도형의 닮음 section; [9수03-12]~[9수03-14] achievement levels -> 도형의 닮음, 닮은 도형의 성질, 닮음비, 삼각형의 닮음 조건, 평행선 사이의 선분의 길이의 비와 무게중심 성질을 구분 || m1_geo_sector_arc_length_area: curriculum_math_2022 @ printed p. 38; [9수03-06] -> 부채꼴의 중심각과 호의 관계를 이해하고 호의 길이와 넓이를 구하는 성취기준 || m1_geo_sector_arc_length_area: achievement_math_2022 @ 평면도형의 성질 section; [9수03-06] achievement levels -> 부채꼴, 중심각, 호의 관계를 이해하고 부채꼴의 호의 길이와 넓이를 구하는 수준을 구분 || m1_geo_tangent_length: curriculum_math_2022 @ printed p. 39; terms usable in teaching and learning situations -> (도형의) 대응, 삼각형의 중점연결정리, 접선의 길이는 교수·학습 상황에서 사용할 수 있음 || m1_num_unit_square_diagonal: curriculum_math_2022 @ printed pp. 33-34; [9수01-08] explanation and considerations -> 제곱근과 무리수는 피타고라스 정리나 한 변의 길이가 1인 정사각형의 대각선 등으로 도입할 수 있고, 제곱근 값은 계산기 등을 이용할 수 있음",Review matching source refs before creating prereq_length or prerequisite edges.,Candidate label appears in existing target source refs; still confirm before updating concepts.json.
나눗셈,stage_prerequisite_node,prereq_division,needs_official_prerequisite_confirmation,target_source_refs_mention_candidate,8,9수02-10,14,"m1_calc_monomial_mul_div: curriculum_math_2022 @ printed pp. 35-36; achievement-standard explanation and considerations -> 지수법칙은 자연수 지수 범위에서 단항식의 곱셈과 나눗셈에 필요한 정도로 다루고, 수의 사칙연산과 소인수분해가 다항식으로 확장될 수 있음을 인식하게 함 || m1_calc_monomial_mul_div: achievement_math_2022 @ 식의 계산 section; [9수02-08] achievement levels -> 지수법칙을 이용하여 거듭제곱이나 단항식의 곱셈과 나눗셈을 하는 수준을 구분 || m1_calc_monomial_polynomial_mul_div: curriculum_math_2022 @ printed pp. 35-36; achievement-standard explanation and considerations -> 지수법칙은 자연수 지수 범위에서 단항식의 곱셈과 나눗셈에 필요한 정도로 다루고, 수의 사칙연산과 소인수분해가 다항식으로 확장될 수 있음을 인식하게 함 || m1_calc_monomial_polynomial_mul_div: achievement_math_2022 @ 식의 계산 section; [9수02-10] achievement levels -> 단항식과 다항식의 곱셈, 다항식과 단항식의 나눗셈 원리 이해와 계산 수행 수준을 구분 || m1_mis_polynomial_division_scope: curriculum_math_2022 @ printed pp. 35-36; achievement-standard explanation and considerations -> 지수법칙은 자연수 지수 범위에서 단항식의 곱셈과 나눗셈에 필요한 정도로 다루고, 수의 사칙연산과 소인수분해가 다항식으로 확장될 수 있음을 인식하게 함 || m1_mis_polynomial_division_scope: achievement_math_2022 @ 식의 계산 section; [9수02-10] achievement levels -> 단항식과 다항식의 곱셈, 다항식과 단항식의 나눗셈 원리 이해와 계산 수행 수준을 구분 || m1_num_four_operations: achievement_math_2022 @ 정수와 유리수 section; [9수01-05] achievement levels -> 정수와 유리수의 사칙계산 원리 이해, 덧셈·뺄셈·곱셈·나눗셈, 혼합계산 수준을 구분 || m1_num_integer_rational_mul_div: achievement_math_2022 @ 정수와 유리수 section; [9수01-05] achievement levels -> 정수와 유리수의 사칙계산 원리 이해, 덧셈·뺄셈·곱셈·나눗셈, 혼합계산 수준을 구분",Review matching source refs before creating prereq_division or prerequisite edges.,Candidate label appears in existing target source refs; still confirm before updating concepts.json.
넓이,stage_prerequisite_node,prereq_area,needs_official_prerequisite_confirmation,target_source_refs_mention_candidate,8,9수03-06; 9수03-08,8,"m1_geo_sector_arc_length_area: curriculum_math_2022 @ printed p. 38; [9수03-06] -> 부채꼴의 중심각과 호의 관계를 이해하고 호의 길이와 넓이를 구하는 성취기준 || m1_geo_sector_arc_length_area: achievement_math_2022 @ 평면도형의 성질 section; [9수03-06] achievement levels -> 부채꼴, 중심각, 호의 관계를 이해하고 부채꼴의 호의 길이와 넓이를 구하는 수준을 구분 || m1_geo_surface_area: curriculum_math_2022 @ printed p. 38; [9수03-08] -> 입체도형의 겉넓이와 부피를 구하는 성취기준 || m1_geo_surface_area: achievement_math_2022 @ 입체도형의 성질 section; [9수03-07]~[9수03-08] achievement levels -> 다면체와 회전체의 성질을 모형이나 공학 도구로 탐구하고 입체도형의 겉넓이와 부피를 구하는 수준을 구분 || m1_geo_trig_triangle_area: achievement_math_2022 @ 삼각비 section; [9수03-16]~[9수03-17] achievement levels -> 삼각비의 뜻, 30도·45도·60도 삼각비의 값, 직각삼각형의 삼각비 값, 거리와 높이 및 삼각형 넓이 활용 수준을 구분 || m1_mis_complex_area_volume_scope: curriculum_math_2022 @ printed p. 39; achievement-standard considerations -> 삼각비 사이의 관계는 다루지 않고, 삼각비 값은 0도에서 90도까지의 각도만 다루며, 원과 비례에 관한 성질과 지나치게 복잡한 넓이·둘레·겉넓이·부피 문제는 다루지 않음 || m1_mis_surface_area_volume: curriculum_math_2022 @ printed p. 38; [9수03-08] -> 입체도형의 겉넓이와 부피를 구하는 성취기준 || m1_mis_surface_area_volume: achievement_math_2022 @ 입체도형의 성질 section; [9수03-07]~[9수03-08] achievement levels -> 다면체와 회전체의 성질을 모형이나 공학 도구로 탐구하고 입체도형의 겉넓이와 부피를 구하는 수준을 구분",Review matching source refs before creating prereq_area or prerequisite edges.,Candidate label appears in existing target source refs; still confirm before updating concepts.json.
덧셈,stage_prerequisite_node,prereq_addition,needs_official_prerequisite_confirmation,target_source_refs_mention_candidate,8,9수02-02; 9수02-09,14,"m1_calc_polynomial_add_sub: curriculum_math_2022 @ printed p. 35; [9수02-09] -> 다항식의 덧셈과 뺄셈 원리를 이해하고 계산하는 성취기준 || m1_calc_polynomial_add_sub: achievement_math_2022 @ 식의 계산 section; [9수02-09] achievement levels -> 다항식의 덧셈과 뺄셈 원리 이해와 계산 수행 수준을 구분 || m1_expr_add_sub_linear_expression: curriculum_math_2022 @ printed p. 34; [9수02-02] -> 일차식의 덧셈과 뺄셈 원리를 이해하고 계산하는 성취기준 || m1_expr_add_sub_linear_expression: achievement_math_2022 @ 문자의 사용과 식 section; [9수02-02] achievement levels -> 일차식의 덧셈과 뺄셈 원리 이해, 계산, 과정 설명 수준을 구분 || m1_mis_radical_like_terms: achievement_math_2022 @ 제곱근과 실수 section; [9수01-10] achievement levels -> 근호를 포함한 식의 사칙계산 원리, 제곱근의 곱셈과 나눗셈, 근호 안의 수가 같은 제곱근의 덧셈과 뺄셈 수준을 구분 || m1_mis_sign_operation: achievement_math_2022 @ 정수와 유리수 section; [9수01-05] achievement levels -> 정수와 유리수의 사칙계산 원리 이해, 덧셈·뺄셈·곱셈·나눗셈, 혼합계산 수준을 구분 || m1_num_four_operations: achievement_math_2022 @ 정수와 유리수 section; [9수01-05] achievement levels -> 정수와 유리수의 사칙계산 원리 이해, 덧셈·뺄셈·곱셈·나눗셈, 혼합계산 수준을 구분 || m1_num_integer_rational_add_sub: achievement_math_2022 @ 정수와 유리수 section; [9수01-05] achievement levels -> 정수와 유리수의 사칙계산 원리 이해, 덧셈·뺄셈·곱셈·나눗셈, 혼합계산 수준을 구분",Review matching source refs before creating prereq_addition or prerequisite edges.,Candidate label appears in existing target source refs; still confirm before updating concepts.json.
도형,stage_prerequisite_node,prereq_figure,needs_official_prerequisite_confirmation,target_source_refs_mention_candidate,21,9수03-04; 9수03-06; 9수03-08; 9수03-11; 9수03-12,51,"m1_geo_basic_unit: achievement_math_2022 @ 기본 도형 section; [9수03-01] achievement levels -> 점, 선, 면, 각 관련 용어와 기호를 이해하고 점, 직선, 평면의 위치 관계를 설명하는 수준을 구분 || m1_geo_basic_unit: achievement_math_2022 @ 기본 도형 section; [9수03-02] achievement levels -> 평행선에서 동위각과 엇각을 찾고 각의 크기를 구하거나 성질을 설명하는 수준을 구분 || m1_geo_correspondence: curriculum_math_2022 @ printed p. 39; terms usable in teaching and learning situations -> (도형의) 대응, 삼각형의 중점연결정리, 접선의 길이는 교수·학습 상황에서 사용할 수 있음 || m1_geo_correspondence: curriculum_math_2022 @ printed p. 38; [9수03-12] -> 도형의 닮음과 닮은 도형의 성질을 이해하고 닮음비를 구하는 성취기준 || m1_geo_correspondence: achievement_math_2022 @ 도형의 닮음 section; [9수03-12]~[9수03-14] achievement levels -> 도형의 닮음, 닮은 도형의 성질, 닮음비, 삼각형의 닮음 조건, 평행선 사이의 선분의 길이의 비와 무게중심 성질을 구분 || m1_geo_domain: curriculum_math_2022 @ printed p. 38; [9수03-08] -> 입체도형의 겉넓이와 부피를 구하는 성취기준 || m1_geo_domain: curriculum_math_2022 @ printed p. 38; [9수03-12] -> 도형의 닮음과 닮은 도형의 성질을 이해하고 닮음비를 구하는 성취기준 || m1_geo_model_tool_solid: achievement_math_2022 @ 입체도형의 성질 section; [9수03-07]~[9수03-08] achievement levels -> 다면체와 회전체의 성질을 모형이나 공학 도구로 탐구하고 입체도형의 겉넓이와 부피를 구하는 수준을 구분 || m1_geo_plane_properties_unit: achievement_math_2022 @ 평면도형의 성질 section; [9수03-05] achievement levels -> 다각형의 내각과 외각의 크기, 다각형의 대각선 개수 등 성질 이해 수준을 구분 || m1_geo_plane_properties_unit: achievement_math_2022 @ 평면도형의 성질 section; [9수03-06] achievement levels -> 부채꼴, 중심각, 호의 관계를 이해하고 부채꼴의 호의 길이와 넓이를 구하는 수준을 구분 || m1_geo_prism: curriculum_math_2022 @ printed p. 38; [9수03-08] -> 입체도형의 겉넓이와 부피를 구하는 성취기준 || m1_geo_prism: achievement_math_2022 @ 입체도형의 성질 section; [9수03-07]~[9수03-08] achievement levels -> 다면체와 회전체의 성질을 모형이나 공학 도구로 탐구하고 입체도형의 겉넓이와 부피를 구하는 수준을 구분 || m1_geo_pyramid: curriculum_math_2022 @ printed p. 38; [9수03-08] -> 입체도형의 겉넓이와 부피를 구하는 성취기준 || m1_geo_pyramid: achievement_math_2022 @ 입체도형의 성질 section; [9수03-07]~[9수03-08] achievement levels -> 다면체와 회전체의 성질을 모형이나 공학 도구로 탐구하고 입체도형의 겉넓이와 부피를 구하는 수준을 구분 || m1_geo_similar_figures: curriculum_math_2022 @ printed p. 38; [9수03-12] -> 도형의 닮음과 닮은 도형의 성질을 이해하고 닮음비를 구하는 성취기준 || m1_geo_similar_figures: achievement_math_2022 @ 도형의 닮음 section; [9수03-12]~[9수03-14] achievement levels -> 도형의 닮음, 닮은 도형의 성질, 닮음비, 삼각형의 닮음 조건, 평행선 사이의 선분의 길이의 비와 무게중심 성질을 구분 || m1_geo_similarity_unit: curriculum_math_2022 @ printed p. 38; [9수03-12] -> 도형의 닮음과 닮은 도형의 성질을 이해하고 닮음비를 구하는 성취기준 || m1_geo_similarity_unit: achievement_math_2022 @ 도형의 닮음 section; [9수03-12]~[9수03-14] achievement levels -> 도형의 닮음, 닮은 도형의 성질, 닮음비, 삼각형의 닮음 조건, 평행선 사이의 선분의 길이의 비와 무게중심 성질을 구분 || m1_geo_solid_cross_section: achievement_math_2022 @ 입체도형의 성질 section; [9수03-07]~[9수03-08] achievement levels -> 다면체와 회전체의 성질을 모형이나 공학 도구로 탐구하고 입체도형의 겉넓이와 부피를 구하는 수준을 구분 || m1_geo_solid_unit: curriculum_math_2022 @ printed p. 38; [9수03-08] -> 입체도형의 겉넓이와 부피를 구하는 성취기준 || m1_geo_solid_unit: achievement_math_2022 @ 입체도형의 성질 section; [9수03-07]~[9수03-08] achievement levels -> 다면체와 회전체의 성질을 모형이나 공학 도구로 탐구하고 입체도형의 겉넓이와 부피를 구하는 수준을 구분",Review matching source refs before creating prereq_figure or prerequisite edges.,Candidate label appears in existing target source refs; still confirm before updating concepts.json.
배수,stage_prerequisite_node,prereq_multiple,needs_official_prerequisite_confirmation,target_source_refs_mention_candidate,7,9수01-02,7,m1_mis_gcd_lcm_scope: curriculum_math_2022 @ printed p. 33; [9수01-02] explanation and considerations -> 초등학교의 최대공약수와 최소공배수 개념을 바탕으로 자연수의 소인수분해를 이용하는 범위에서 다루며 활용 문제는 다루지 않음 || m1_num_find_gcd_lcm_prime_factorization: curriculum_math_2022 @ printed p. 33; [9수01-02] -> 소인수분해를 이용하여 최대공약수와 최소공배수를 구하는 성취기준 || m1_num_find_gcd_lcm_prime_factorization: curriculum_math_2022 @ printed p. 33; [9수01-02] explanation and considerations -> 초등학교의 최대공약수와 최소공배수 개념을 바탕으로 자연수의 소인수분해를 이용하는 범위에서 다루며 활용 문제는 다루지 않음 || m1_num_find_gcd_lcm_prime_factorization: achievement_math_2022 @ 소인수분해 section; [9수01-02] achievement levels -> 소인수분해를 이용하여 최대공약수와 최소공배수를 구하고 원리를 설명하는 수준을 구분 || m1_num_lcm: curriculum_math_2022 @ printed p. 33; [9수01-02] -> 소인수분해를 이용하여 최대공약수와 최소공배수를 구하는 성취기준 || m1_num_lcm: curriculum_math_2022 @ printed p. 33; [9수01-02] explanation and considerations -> 초등학교의 최대공약수와 최소공배수 개념을 바탕으로 자연수의 소인수분해를 이용하는 범위에서 다루며 활용 문제는 다루지 않음 || m1_num_lcm: achievement_math_2022 @ 소인수분해 section; [9수01-02] achievement levels -> 소인수분해를 이용하여 최대공약수와 최소공배수를 구하고 원리를 설명하는 수준을 구분,Review matching source refs before creating prereq_multiple or prerequisite edges.,Candidate label appears in existing target source refs; still confirm before updating concepts.json.
비,stage_prerequisite_node,prereq_ratio,needs_official_prerequisite_confirmation,direct_legacy_unit_review_needed,0,9수02-07; 9수03-12; 9수03-14; 9수03-15; 9수03-16; 9수03-17; 9수04-08,0,,Inspect legacy units directly before proposing a concept or edge.,No target source refs are available; use legacy units and official PDFs for direct review.
뺄셈,stage_prerequisite_node,prereq_subtraction,needs_official_prerequisite_confirmation,target_source_refs_mention_candidate,7,9수02-02; 9수02-09,11,"m1_calc_polynomial_add_sub: curriculum_math_2022 @ printed p. 35; [9수02-09] -> 다항식의 덧셈과 뺄셈 원리를 이해하고 계산하는 성취기준 || m1_calc_polynomial_add_sub: achievement_math_2022 @ 식의 계산 section; [9수02-09] achievement levels -> 다항식의 덧셈과 뺄셈 원리 이해와 계산 수행 수준을 구분 || m1_expr_add_sub_linear_expression: curriculum_math_2022 @ printed p. 34; [9수02-02] -> 일차식의 덧셈과 뺄셈 원리를 이해하고 계산하는 성취기준 || m1_expr_add_sub_linear_expression: achievement_math_2022 @ 문자의 사용과 식 section; [9수02-02] achievement levels -> 일차식의 덧셈과 뺄셈 원리 이해, 계산, 과정 설명 수준을 구분 || m1_mis_sign_operation: achievement_math_2022 @ 정수와 유리수 section; [9수01-05] achievement levels -> 정수와 유리수의 사칙계산 원리 이해, 덧셈·뺄셈·곱셈·나눗셈, 혼합계산 수준을 구분 || m1_num_four_operations: achievement_math_2022 @ 정수와 유리수 section; [9수01-05] achievement levels -> 정수와 유리수의 사칙계산 원리 이해, 덧셈·뺄셈·곱셈·나눗셈, 혼합계산 수준을 구분 || m1_num_integer_rational_add_sub: achievement_math_2022 @ 정수와 유리수 section; [9수01-05] achievement levels -> 정수와 유리수의 사칙계산 원리 이해, 덧셈·뺄셈·곱셈·나눗셈, 혼합계산 수준을 구분",Review matching source refs before creating prereq_subtraction or prerequisite edges.,Candidate label appears in existing target source refs; still confirm before updating concepts.json.
삼각형,stage_prerequisite_node,prereq_triangle,needs_official_prerequisite_confirmation,target_source_refs_mention_candidate,26,9수03-03; 9수03-04; 9수03-08; 9수03-09; 9수03-10; 9수03-13,32,"m1_geo_construction_congruence_unit: curriculum_math_2022 @ printed p. 37; [9수03-03] -> 삼각형을 작도하고 그 과정을 설명하는 성취기준 || m1_geo_construction_congruence_unit: curriculum_math_2022 @ printed p. 37; [9수03-04] -> 삼각형의 합동 조건을 이해하고 합동인지 판별하는 성취기준 || m1_geo_construction_congruence_unit: achievement_math_2022 @ 작도와 합동 section; [9수03-03] achievement levels -> 삼각형 작도와 주어진 삼각형과 합동인 삼각형 작도, 작도 과정 설명 수준을 구분 || m1_geo_construction_congruence_unit: achievement_math_2022 @ 작도와 합동 section; [9수03-04] achievement levels -> 삼각형의 합동 조건을 이해하고 두 삼각형의 합동 여부를 판별하는 수준을 구분 || m1_geo_isosceles_properties: curriculum_math_2022 @ printed p. 38; [9수03-09] -> 이등변삼각형의 성질을 이해하고 정당화하는 성취기준 || m1_geo_isosceles_properties: achievement_math_2022 @ 삼각형과 사각형의 성질 section; [9수03-09]~[9수03-11] achievement levels -> 이등변삼각형, 삼각형의 외심과 내심, 사각형의 성질과 여러 사각형 사이의 관계를 이해하고 정당화하는 수준을 구분 || m1_geo_isosceles_triangle: curriculum_math_2022 @ printed p. 38; [9수03-09] -> 이등변삼각형의 성질을 이해하고 정당화하는 성취기준 || m1_geo_isosceles_triangle: achievement_math_2022 @ 삼각형과 사각형의 성질 section; [9수03-09]~[9수03-11] achievement levels -> 이등변삼각형, 삼각형의 외심과 내심, 사각형의 성질과 여러 사각형 사이의 관계를 이해하고 정당화하는 수준을 구분 || m1_geo_right_triangle: achievement_math_2022 @ 피타고라스 정리 section; [9수03-15] achievement levels -> 피타고라스 정리와 그 역을 이해하고 직각삼각형 판별에 활용하는 수준을 구분 || m1_geo_right_triangle: achievement_math_2022 @ 삼각비 section; [9수03-16]~[9수03-17] achievement levels -> 삼각비의 뜻, 30도·45도·60도 삼각비의 값, 직각삼각형의 삼각비 값, 거리와 높이 및 삼각형 넓이 활용 수준을 구분 || m1_geo_right_triangle_judgement: achievement_math_2022 @ 피타고라스 정리 section; [9수03-15] achievement levels -> 피타고라스 정리와 그 역을 이해하고 직각삼각형 판별에 활용하는 수준을 구분 || m1_geo_right_triangle_trig_value: achievement_math_2022 @ 삼각비 section; [9수03-16]~[9수03-17] achievement levels -> 삼각비의 뜻, 30도·45도·60도 삼각비의 값, 직각삼각형의 삼각비 값, 거리와 높이 및 삼각형 넓이 활용 수준을 구분 || m1_geo_similarity_judgement: curriculum_math_2022 @ printed p. 38; [9수03-13] -> 삼각형의 닮음 조건을 이해하고 닮음인지 판별하는 성취기준 || m1_geo_similarity_judgement: achievement_math_2022 @ 도형의 닮음 section; [9수03-12]~[9수03-14] achievement levels -> 도형의 닮음, 닮은 도형의 성질, 닮음비, 삼각형의 닮음 조건, 평행선 사이의 선분의 길이의 비와 무게중심 성질을 구분 || m1_geo_triangle_congruence_conditions: curriculum_math_2022 @ printed pp. 38-39; terms and symbols for 도형과 측정 -> 교점, 교선, 두 점 사이의 거리, 중점, 수직이등분선, 꼬인 위치, 교각, 맞꼭지각, 엇각, 동위각, 평각, 직교, 수선의 발, 작도, 대변, 대각, 삼각형의 합동 조건, 내각, 외각, 부채꼴, 중심각, 호, 현, 활꼴, 할선, 다면체, 각뿔대, 정다면체, 회전체, 회전축, 원뿔대, 증명, 접선, 접점, 접한다, 외심, 외접, 외접원, 내심, 내접, 내접원, 중선, 무게중심, 닮음, 닮음비, 삼각형의 닮음 조건, 피타고라스 정리, 삼각비, 사인, 코사인, 탄젠트, 원주각 등을 다룸 || m1_geo_triangle_congruence_conditions: curriculum_math_2022 @ printed p. 37; [9수03-04] -> 삼각형의 합동 조건을 이해하고 합동인지 판별하는 성취기준 || m1_geo_triangle_congruence_conditions: achievement_math_2022 @ 작도와 합동 section; [9수03-04] achievement levels -> 삼각형의 합동 조건을 이해하고 두 삼각형의 합동 여부를 판별하는 수준을 구분 || m1_geo_triangle_congruence_judgement: curriculum_math_2022 @ printed p. 37; [9수03-04] -> 삼각형의 합동 조건을 이해하고 합동인지 판별하는 성취기준 || m1_geo_triangle_congruence_judgement: achievement_math_2022 @ 작도와 합동 section; [9수03-04] achievement levels -> 삼각형의 합동 조건을 이해하고 두 삼각형의 합동 여부를 판별하는 수준을 구분 || m1_geo_triangle_construction: curriculum_math_2022 @ printed p. 37; [9수03-03] -> 삼각형을 작도하고 그 과정을 설명하는 성취기준 || m1_geo_triangle_construction: achievement_math_2022 @ 작도와 합동 section; [9수03-03] achievement levels -> 삼각형 작도와 주어진 삼각형과 합동인 삼각형 작도, 작도 과정 설명 수준을 구분 || m1_geo_triangle_midpoint_theorem: curriculum_math_2022 @ printed p. 39; terms usable in teaching and learning situations -> (도형의) 대응, 삼각형의 중점연결정리, 접선의 길이는 교수·학습 상황에서 사용할 수 있음 || m1_geo_triangle_midpoint_theorem: achievement_math_2022 @ 도형의 닮음 section; [9수03-12]~[9수03-14] achievement levels -> 도형의 닮음, 닮은 도형의 성질, 닮음비, 삼각형의 닮음 조건, 평행선 사이의 선분의 길이의 비와 무게중심 성질을 구분 || m1_geo_triangle_quadrilateral_unit: curriculum_math_2022 @ printed p. 38; [9수03-09] -> 이등변삼각형의 성질을 이해하고 정당화하는 성취기준 || m1_geo_triangle_quadrilateral_unit: curriculum_math_2022 @ printed p. 38; [9수03-10] -> 삼각형의 외심과 내심의 성질을 이해하고 정당화하는 성취기준 || m1_geo_triangle_quadrilateral_unit: achievement_math_2022 @ 삼각형과 사각형의 성질 section; [9수03-09]~[9수03-11] achievement levels -> 이등변삼각형, 삼각형의 외심과 내심, 사각형의 성질과 여러 사각형 사이의 관계를 이해하고 정당화하는 수준을 구분",Review matching source refs before creating prereq_triangle or prerequisite edges.,Candidate label appears in existing target source refs; still confirm before updating concepts.json.
