rank,node_id,node_label_ko,related_id,related_label_ko,node_domain,node_unit,related_domain,related_unit,node_concept_type,related_concept_type,same_domain,same_unit,reciprocal_related_id,candidate_relationship_types,priority_score,priority_tier,next_action,source_refs
1,m1_geo_convex_polygon_scope,볼록다각형 범위,m1_geo_diagonal_count,다각형의 대각선 개수,도형과 측정,평면도형의 성질,도형과 측정,평면도형의 성질,property,property,yes,yes,yes,contrasts_with; related_to,7,low,confirm_contrast_or_related_edge,"curriculum_math_2022: printed pp. 38-39; [9수03-05], [9수03-07] explanation and considerations"
2,m1_geo_convex_polygon_scope,볼록다각형 범위,m1_geo_polygon_angle_sum,다각형의 내각과 외각의 크기,도형과 측정,평면도형의 성질,도형과 측정,평면도형의 성질,property,property,yes,yes,yes,contrasts_with; related_to,7,low,confirm_contrast_or_related_edge,"curriculum_math_2022: printed pp. 38-39; [9수03-05], [9수03-07] explanation and considerations"
3,m1_geo_diagonal_count,다각형의 대각선 개수,m1_geo_convex_polygon_scope,볼록다각형 범위,도형과 측정,평면도형의 성질,도형과 측정,평면도형의 성질,property,property,yes,yes,yes,contrasts_with; related_to,7,low,confirm_contrast_or_related_edge,"curriculum_math_2022: printed pp. 37-38; [9수03-05]; curriculum_math_2022: printed pp. 38-39; [9수03-05], [9수03-07] explanation and considerations; achievement_math_2022: 평면도형의 성질 section; [9수03-05] achievement levels"
4,m1_geo_polygon_angle_sum,다각형의 내각과 외각의 크기,m1_geo_convex_polygon_scope,볼록다각형 범위,도형과 측정,평면도형의 성질,도형과 측정,평면도형의 성질,property,property,yes,yes,yes,contrasts_with; related_to,7,low,confirm_contrast_or_related_edge,"curriculum_math_2022: printed pp. 37-38; [9수03-05]; curriculum_math_2022: printed pp. 38-39; [9수03-05], [9수03-07] explanation and considerations; achievement_math_2022: 평면도형의 성질 section; [9수03-05] achievement levels"
5,m1_factor_square_difference_formula,(a-b)^2 공식,m1_factor_square_sum_formula,(a+b)^2 공식,변화와 관계,다항식의 곱셈과 인수분해,변화와 관계,다항식의 곱셈과 인수분해,property,property,yes,yes,yes,contrasts_with; related_to,7,low,confirm_contrast_or_related_edge,curriculum_math_2022: printed p. 36; [9수02-19] explanation; achievement_math_2022: 다항식의 곱셈과 인수분해 section; [9수02-19] achievement levels
6,m1_factor_square_sum_formula,(a+b)^2 공식,m1_factor_square_difference_formula,(a-b)^2 공식,변화와 관계,다항식의 곱셈과 인수분해,변화와 관계,다항식의 곱셈과 인수분해,property,property,yes,yes,yes,contrasts_with; related_to,7,low,confirm_contrast_or_related_edge,curriculum_math_2022: printed p. 36; [9수02-19] explanation; achievement_math_2022: 다항식의 곱셈과 인수분해 section; [9수02-19] achievement levels
7,m1_expr_coefficient,계수,m1_expr_constant_term,상수항,변화와 관계,문자의 사용과 식,변화와 관계,문자의 사용과 식,term,term,yes,yes,yes,contrasts_with; related_to,7,low,confirm_contrast_or_related_edge,curriculum_math_2022: printed p. 36; terms and symbols for 변화와 관계
8,m1_expr_constant_term,상수항,m1_expr_coefficient,계수,변화와 관계,문자의 사용과 식,변화와 관계,문자의 사용과 식,term,term,yes,yes,yes,contrasts_with; related_to,7,low,confirm_contrast_or_related_edge,curriculum_math_2022: printed p. 36; terms and symbols for 변화와 관계
9,m1_calc_base,밑,m1_calc_exponent,지수,변화와 관계,식의 계산,변화와 관계,식의 계산,term,term,yes,yes,yes,contrasts_with; related_to,7,low,confirm_contrast_or_related_edge,curriculum_math_2022: printed p. 34; terms and symbols for 수와 연산; achievement_math_2022: 식의 계산 section; [9수02-08] achievement levels
10,m1_calc_exponent,지수,m1_calc_base,밑,변화와 관계,식의 계산,변화와 관계,식의 계산,term,term,yes,yes,yes,contrasts_with; related_to,7,low,confirm_contrast_or_related_edge,curriculum_math_2022: printed p. 34; terms and symbols for 수와 연산; curriculum_math_2022: printed p. 35; [9수02-08]; achievement_math_2022: 식의 계산 section; [9수02-08] achievement levels
